year,election,office,party,district,candidate,county,votes,winner
1958,general,U.S. House,REP,1,"Arch A. Moore, Jr.",Totals,55613,TRUE
1958,general,U.S. House,REP,1,"Arch A. Moore, Jr.",Brooke,4916,
1958,general,U.S. House,REP,1,"Arch A. Moore, Jr.",Hancock,6071,
1958,general,U.S. House,REP,1,"Arch A. Moore, Jr.",Marion,12488,
1958,general,U.S. House,REP,1,"Arch A. Moore, Jr.",Marshall,8382,
1958,general,U.S. House,REP,1,"Arch A. Moore, Jr.",Ohio,16522,
1958,general,U.S. House,REP,1,"Arch A. Moore, Jr.",Taylor,3608,
1958,general,U.S. House,REP,1,"Arch A. Moore, Jr.",Wetzel,3626,
1958,general,U.S. House,DEM,1,Robert H. Mollohan,Totals,46262,
1958,general,U.S. House,DEM,1,Robert H. Mollohan,Brooke,4507,
1958,general,U.S. House,DEM,1,Robert H. Mollohan,Hancock,6389,
1958,general,U.S. House,DEM,1,Robert H. Mollohan,Marion,13428,
1958,general,U.S. House,DEM,1,Robert H. Mollohan,Marshall,5340,
1958,general,U.S. House,DEM,1,Robert H. Mollohan,Ohio,10169,
1958,general,U.S. House,DEM,1,Robert H. Mollohan,Taylor,3091,
1958,general,U.S. House,DEM,1,Robert H. Mollohan,Wetzel,3338,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Totals,34436,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Barbour,2741,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Berkeley,4203,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Grant,1834,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Hampshire,834,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Hardy,938,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Jefferson,1279,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Mineral,2580,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Monongalia,6479,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Morgan,1858,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Pendleton,980,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Pocahontas,1766,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Preston,4173,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Randolph,2482,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Tucker,1130,
1958,general,U.S. House,REP,2,Dr. Ward W. Keesecker,Webster,1159,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Totals,57761,TRUE
1958,general,U.S. House,DEM,2,Harley O. Staggers,Barbour,3662,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Berkeley,6538,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Grant,923,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Hampshire,2841,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Hardy,2475,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Jefferson,3477,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Mineral,4625,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Monongalia,11917,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Morgan,1194,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Pendleton,1909,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Pocahontas,2555,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Preston,3402,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Randolph,6847,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Tucker,2176,
1958,general,U.S. House,DEM,2,Harley O. Staggers,Webster,3220,
1958,general,U.S. House,REP,3,Rex Keith Bumgardner,Totals,39507,
1958,general,U.S. House,REP,3,Rex Keith Bumgardner,Braxton,2085,
1958,general,U.S. House,REP,3,Rex Keith Bumgardner,Calhoun,1271,
1958,general,U.S. House,REP,3,Rex Keith Bumgardner,Clay,2145,
1958,general,U.S. House,REP,3,Rex Keith Bumgardner,Doddridge,1742,
1958,general,U.S. House,REP,3,Rex Keith Bumgardner,Fayette,4899,
1958,general,U.S. House,REP,3,Rex Keith Bumgardner,Gilmer,925,
1958,general,U.S. House,REP,3,Rex Keith Bumgardner,Harrison,13061,
1958,general,U.S. House,REP,3,Rex Keith Bumgardner,Lewis,3333,
1958,general,U.S. House,REP,3,Rex Keith Bumgardner,Nicholas,2552,
1958,general,U.S. House,REP,3,Rex Keith Bumgardner,Ritchie,2820,
1958,general,U.S. House,REP,3,Rex Keith Bumgardner,Upshur,3664,
1958,general,U.S. House,REP,3,Rex Keith Bumgardner,Wirt,1010,
1958,general,U.S. House,DEM,3,Cleveland M. Bailey,Totals,59084,TRUE
1958,general,U.S. House,DEM,3,Cleveland M. Bailey,Braxton,3881,
1958,general,U.S. House,DEM,3,Cleveland M. Bailey,Calhoun,1993,
1958,general,U.S. House,DEM,3,Cleveland M. Bailey,Clay,2711,
1958,general,U.S. House,DEM,3,Cleveland M. Bailey,Doddridge,1068,
1958,general,U.S. House,DEM,3,Cleveland M. Bailey,Fayette,15837,
1958,general,U.S. House,DEM,3,Cleveland M. Bailey,Gilmer,2076,
1958,general,U.S. House,DEM,3,Cleveland M. Bailey,Harrison,17517,
1958,general,U.S. House,DEM,3,Cleveland M. Bailey,Lewis,3415,
1958,general,U.S. House,DEM,3,Cleveland M. Bailey,Nicholas,5791,
1958,general,U.S. House,DEM,3,Cleveland M. Bailey,Ritchie,1445,
1958,general,U.S. House,DEM,3,Cleveland M. Bailey,Upshur,2273,
1958,general,U.S. House,DEM,3,Cleveland M. Bailey,Wirt,1077,
1958,general,U.S. House,REP,4,Will E. Neal,Totals,57291,
1958,general,U.S. House,REP,4,Will E. Neal,Cabell,17583,
1958,general,U.S. House,REP,4,Will E. Neal,Jackson,3643,
1958,general,U.S. House,REP,4,Will E. Neal,Lincoln,3203,
1958,general,U.S. House,REP,4,Will E. Neal,Mason,4003,
1958,general,U.S. House,REP,4,Will E. Neal,Pleasants,1333,
1958,general,U.S. House,REP,4,Will E. Neal,Putnam,3638,
1958,general,U.S. House,REP,4,Will E. Neal,Roane,3297,
1958,general,U.S. House,REP,4,Will E. Neal,Tyler,2590,
1958,general,U.S. House,REP,4,Will E. Neal,Wayne,5173,
1958,general,U.S. House,REP,4,Will E. Neal,Wood,12828,
1958,general,U.S. House,DEM,4,Dr. Ken Hechler,Totals,60794,TRUE
1958,general,U.S. House,DEM,4,Dr. Ken Hechler,Cabell,17956,
1958,general,U.S. House,DEM,4,Dr. Ken Hechler,Jackson,2793,
1958,general,U.S. House,DEM,4,Dr. Ken Hechler,Lincoln,4220,
1958,general,U.S. House,DEM,4,Dr. Ken Hechler,Mason,3519,
1958,general,U.S. House,DEM,4,Dr. Ken Hechler,Pleasants,1552,
1958,general,U.S. House,DEM,4,Dr. Ken Hechler,Putnam,4730,
1958,general,U.S. House,DEM,4,Dr. Ken Hechler,Roane,2706,
1958,general,U.S. House,DEM,4,Dr. Ken Hechler,Tyler,1369,
1958,general,U.S. House,DEM,4,Dr. Ken Hechler,Wayne,8101,
1958,general,U.S. House,DEM,4,Dr. Ken Hechler,Wood,13848,
1958,general,U.S. House,REP,5,Geo A. Daughtery,Totals,105,
1958,general,U.S. House,REP,5,Geo A. Daughtery,Greenbrier,0,
1958,general,U.S. House,REP,5,Geo A. Daughtery,Mercer,105,
1958,general,U.S. House,REP,5,Geo A. Daughtery,Mingo,0,
1958,general,U.S. House,REP,5,Geo A. Daughtery,Monroe,0,
1958,general,U.S. House,REP,5,Geo A. Daughtery,McDowell,0,
1958,general,U.S. House,REP,5,Geo A. Daughtery,Summers,0,
1958,general,U.S. House,REP,5,Geo A. Daughtery,Wyoming,0,
1958,general,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,Totals,63873,TRUE
1958,general,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,Greenbrier,7485,
1958,general,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,Mercer,14003,
1958,general,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,Mingo,9840,
1958,general,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,Monroe,17863,
1958,general,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,McDowell,2904,
1958,general,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,Summers,4511,
1958,general,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,Wyoming,7267,
1958,general,U.S. House,REP,6,F. O’Dair Duff,Totals,47852,
1958,general,U.S. House,REP,6,F. O’Dair Duff,Boone,2949,
