year,election,office,party,candidate,county,votes,winner
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Barbour,138,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Berkeley,76,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Boone,85,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Braxton,158,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Brooke,321,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Cabell,1598,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Calhoun,74,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Clay,114,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Doddridge,31,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Fayette,518,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Gilmer,86,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Grant,3,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Greenbrier,144,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Hampshire,34,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Hancock,1375,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Hardy,30,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Harrison,802,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Jackson,27,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Jefferson,56,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Kanawha,2574,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Lewis,95,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Lincoln,85,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Logan,705,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Marion,1171,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Marshall,73,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Mason,60,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,McDowell,449,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Mercer,419,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Mineral,24,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Mingo,425,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Monongalia,663,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Monroe,36,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Morgan,31,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Nicholas,214,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Ohio,163,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Pendleton,14,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Pleasants,28,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Pocahontas,70,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Preston,64,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Putnam,347,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Raleigh,150,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Randolph,226,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Ritchie,15,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Roane,26,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Summers,142,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Taylor,72,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Tucker,50,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Tyler,12,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Upshur,46,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Wayne,603,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Webster,221,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Wetzel,61,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Wirt,10,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Wood,71,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Wyoming,209,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harold Bangert,Totals,15294,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Barbour,476,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Berkeley,1636,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Boone,141,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Braxton,503,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Brooke,543,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Cabell,1763,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Calhoun,178,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Clay,435,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Doddridge,98,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Fayette,672,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Gilmer,217,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Grant,192,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Greenbrier,436,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Hampshire,1778,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Hancock,450,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Hardy,1880,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Harrison,1881,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Jackson,53,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Jefferson,787,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Kanawha,2265,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Lewis,455,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Lincoln,309,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Logan,2930,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Marion,2165,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Marshall,294,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Mason,71,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,McDowell,3017,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Mercer,994,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Mineral,748,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Mingo,827,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Monongalia,1734,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Monroe,589,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Morgan,328,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Nicholas,472,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Ohio,707,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Pendleton,1016,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Pleasants,41,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Pocahontas,536,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Preston,401,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Putnam,138,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Raleigh,303,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Randolph,1582,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Ritchie,99,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Roane,81,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Summers,182,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Taylor,294,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Tucker,729,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Tyler,38,
1958,primary,Judge of the Supreme Court of Appeals,DEM,Harlan Calhoun,Upshur,315,
