ElectionId,Date,Description,Type,OfficialResults,CountyName,Precinct,Name,PartyCode,PartyName,TicketCode,OfficeCode,OfficeDescription,District,DistrictName,Division,DivisionName,Votes
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,269
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,43850
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,2494
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,28263
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,814
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,ALEX X. MOONEY,R,Republican,N,CA,U.S. House of Representatives,2,2nd Congressional District,0,,32746
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,MARK HUNT,D,Democrat,N,CA,U.S. House of Representatives,2,2nd Congressional District,0,,41128
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,BILL COLE,R,Republican,S,DA,Governor,0,,0,,23849
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,CHARLOTTE JEAN PRITT,M,Mountain,S,DA,Governor,0,,0,,6650
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,DAVID MORAN,L,Libertarian,S,DA,Governor,0,,0,,926
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,JIM JUSTICE,D,Democrat,S,DA,Governor,0,,0,,44756
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,PHIL HUDOK,C,Constitution,S,DA,Governor,0,,0,,211
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,JOHN S. BUCKLEY,L,Libertarian,S,EA,Secretary of State,0,,0,,2661
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,MAC WARNER,R,Republican,S,EA,Secretary of State,0,,0,,32880
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,Precinct,Yes,Kanawha,103,NATALIE TENNANT,D,Democrat,S,EA,Secretary of State,0,,0,,39555
