iteration,ind,old,new,office
0,0,MARY ANN CLAYTON,MARY ANN CLAYTOR,AUDITOR
0,1,DOUG REYNOLD,DOUG REYNOLDS,ATTORNEY GENERAL
0,2,MICHAEL SHANLEY,MICHAEL SHARLEY,ATTORNEY GENERAL
0,3,CHARLOTTE JEAN PITT,CHARLOTTE JEAN PRITT,GOVERNOR
0,4,ZANE LOWHORN,ZANE LAWHORN,US HOUSE
0,5,BENJAMIN M SHERIDAN,BENJAMIM M SHERIDAN,STATE HOUSE
