candidate,office,district,party,county,precinct,total votes,election day,early voting
,Registered Voters,,,Berkeley,PRECINCT 1,890,,
,Ballots Cast,,,Berkeley,PRECINCT 1,173,135,38
,Straight Party,,Republican,Berkeley,PRECINCT 1,14,12,2
,Straight Party,,Democratic,Berkeley,PRECINCT 1,20,14,6
,Straight Party,,Mountain,Berkeley,PRECINCT 1,1,1,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 1,68,55,13
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 1,97,73,24
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 1,4,4,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 1,1,0,1
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 1,1,1,0
,Registered Voters,,,Berkeley,PRECINCT 2,1023,,
,Ballots Cast,,,Berkeley,PRECINCT 2,212,163,49
,Straight Party,,Republican,Berkeley,PRECINCT 2,18,17,1
,Straight Party,,Democratic,Berkeley,PRECINCT 2,37,29,8
,Straight Party,,Mountain,Berkeley,PRECINCT 2,2,2,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 2,79,73,6
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 2,117,78,39
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 2,5,5,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 2,5,4,1
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 2,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 5,1169,,
,Ballots Cast,,,Berkeley,PRECINCT 5,165,115,50
,Straight Party,,Republican,Berkeley,PRECINCT 5,24,19,5
,Straight Party,,Democratic,Berkeley,PRECINCT 5,28,19,9
,Straight Party,,Mountain,Berkeley,PRECINCT 5,1,0,1
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 5,80,53,27
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 5,81,62,19
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 5,2,0,2
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 5,0,0,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 5,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 6,684,,
,Ballots Cast,,,Berkeley,PRECINCT 6,93,64,29
,Straight Party,,Republican,Berkeley,PRECINCT 6,10,7,3
,Straight Party,,Democratic,Berkeley,PRECINCT 6,17,13,4
,Straight Party,,Mountain,Berkeley,PRECINCT 6,1,1,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 6,34,21,13
