county,precinct,office,district,party,candidate,votes,election_day_650,early_voting_650,election_day_ivo,early_voting_ivo,election_day,early_voting
Pendleton,1,Registered Voters,,,,206,,,,,0,0
Pendleton,1,Ballots Cast,,,,60,37,0,23,0,60,0
Pendleton,1,Straight Party,,,Republican,5,3,0,2,0,5,0
Pendleton,1,Straight Party,,,Democratic,6,4,0,2,0,6,0
Pendleton,1,Straight Party,,,Mountain,1,0,0,1,0,1,0
Pendleton,1,Straight Party,,,Over Votes,0,0,0,0,0,0,0
Pendleton,1,Straight Party,,,Under Votes,48,30,0,18,0,48,0
Pendleton,1,Governor,,REP,Bill Maloney,40,23,0,17,0,40,0
Pendleton,1,Governor,,DEM,Earl Ray Tomblin,14,10,0,4,0,14,0
Pendleton,1,Governor,,MTN,Bob Henry Baber,2,1,0,1,0,2,0
Pendleton,1,Governor,,IND,Marla Dee Ingels,3,3,0,0,0,3,0
Pendleton,1,Governor,,ATP,Harry V. Bertram,0,0,0,0,0,0,0
Pendleton,1,Governor,,,Write-ins,0,0,0,0,0,0,0
Pendleton,1,Governor,,,Over Votes,0,0,0,0,0,0,0
Pendleton,1,Governor,,,Under Votes,1,0,0,1,0,1,0
Pendleton,2,Registered Voters,,,,525,,,,,0,0
Pendleton,2,Ballots Cast,,,,98,66,0,32,0,98,0
Pendleton,2,Straight Party,,,Republican,10,4,0,6,0,10,0
Pendleton,2,Straight Party,,,Democratic,11,8,0,3,0,11,0
Pendleton,2,Straight Party,,,Mountain,1,1,0,0,0,1,0
Pendleton,2,Straight Party,,,Over Votes,0,0,0,0,0,0,0
Pendleton,2,Straight Party,,,Under Votes,76,53,0,23,0,76,0
Pendleton,2,Governor,,REP,Bill Maloney,49,30,0,19,0,49,0
Pendleton,2,Governor,,DEM,Earl Ray Tomblin,45,32,0,13,0,45,0
Pendleton,2,Governor,,MTN,Bob Henry Baber,1,1,0,0,0,1,0
Pendleton,2,Governor,,IND,Marla Dee Ingels,1,1,0,0,0,1,0
Pendleton,2,Governor,,ATP,Harry V. Bertram,2,2,0,0,0,2,0
Pendleton,2,Governor,,,Write-ins,0,0,0,0,0,0,0
Pendleton,2,Governor,,,Over Votes,0,0,0,0,0,0,0
Pendleton,2,Governor,,,Under Votes,0,0,0,0,0,0,0
Pendleton,3,Registered Voters,,,,506,,,,,0,0
Pendleton,3,Ballots Cast,,,,88,76,0,12,0,88,0
