candidate,office,district,party,county,precinct,total votes,election day,early voting
,Registered Voters ,,,Wayne,Precinct 1,1286,,
,Ballots Cast,,,Wayne,Precinct 1,243,243,0
,Straight Party,,REP,Wayne,Precinct 1,22,22,0
,Straight Party,,DEM,Wayne,Precinct 1,40,40,0
,Straight Party,,MTN,Wayne,Precinct 1,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 1,97,97,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 1,141,141,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 1,1,1,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 1,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 1,0,0,0
,Registered Voters ,,,Wayne,Precinct 3,0,,
,Ballots Cast,,,Wayne,Precinct 3,184,184,0
,Straight Party,,REP,Wayne,Precinct 3,29,29,0
,Straight Party,,DEM,Wayne,Precinct 3,44,44,0
,Straight Party,,MTN,Wayne,Precinct 3,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 3,74,74,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 3,101,101,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 3,2,2,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 3,1,1,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 3,1,1,0
,Registered Voters ,,,Wayne,Precinct 5,930,,
,Ballots Cast,,,Wayne,Precinct 5,186,186,0
,Straight Party,,REP,Wayne,Precinct 5,15,15,0
,Straight Party,,DEM,Wayne,Precinct 5,30,30,0
,Straight Party,,MTN,Wayne,Precinct 5,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 5,74,74,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 5,106,106,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 5,3,3,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 5,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 5,0,0,0
,Registered Voters ,,,Wayne,Precinct 6,764,,
,Ballots Cast,,,Wayne,Precinct 6,86,86,0
,Straight Party,,REP,Wayne,Precinct 6,11,11,0
,Straight Party,,DEM,Wayne,Precinct 6,21,21,0
,Straight Party,,MTN,Wayne,Precinct 6,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 6,30,30,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 6,52,52,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 6,1,1,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 6,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 6,0,0,0
,Registered Voters ,,,Wayne,Precinct 11,0,,
,Ballots Cast,,,Wayne,Precinct 11,123,123,0
,Straight Party,,REP,Wayne,Precinct 11,9,9,0
,Straight Party,,DEM,Wayne,Precinct 11,12,12,0
,Straight Party,,MTN,Wayne,Precinct 11,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 11,42,42,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 11,77,77,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 11,2,2,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 11,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 11,0,0,0
,Registered Voters ,,,Wayne,Precinct 12,583,,
,Ballots Cast,,,Wayne,Precinct 12,160,160,0
,Straight Party,,REP,Wayne,Precinct 12,4,4,0
,Straight Party,,DEM,Wayne,Precinct 12,12,12,0
,Straight Party,,MTN,Wayne,Precinct 12,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 12,47,47,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 12,104,104,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 12,3,3,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 12,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 12,1,1,0
,Registered Voters ,,,Wayne,Precinct 13,910,,
,Ballots Cast,,,Wayne,Precinct 13,194,194,0
,Straight Party,,REP,Wayne,Precinct 13,13,13,0
,Straight Party,,DEM,Wayne,Precinct 13,31,31,0
,Straight Party,,MTN,Wayne,Precinct 13,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 13,79,79,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 13,109,109,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 13,1,1,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 13,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 13,1,1,0
,Registered Voters ,,,Wayne,Precinct 14,1201,,
,Ballots Cast,,,Wayne,Precinct 14,345,345,0
,Straight Party,,REP,Wayne,Precinct 14,21,21,0
,Straight Party,,DEM,Wayne,Precinct 14,37,37,0
,Straight Party,,MTN,Wayne,Precinct 14,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 14,157,157,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 14,180,180,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 14,2,2,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 14,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 14,1,1,0
,Registered Voters ,,,Wayne,Precinct 16,447,,
,Ballots Cast,,,Wayne,Precinct 16,115,115,0
,Straight Party,,REP,Wayne,Precinct 16,16,16,0
,Straight Party,,DEM,Wayne,Precinct 16,22,22,0
,Straight Party,,MTN,Wayne,Precinct 16,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 16,51,51,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 16,60,60,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 16,1,1,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 16,0,0,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 16,1,1,0
,Registered Voters ,,,Wayne,Precinct 17,645,,
