candidate,office,district,party,county,precinct,votes
,Straight Party,,Republican,Fayette,Precinct 1,16
,Straight Party,,Democratic,Fayette,Precinct 1,58
,Straight Party,,Mountain,Fayette,Precinct 1,2
Bill Maloney,Governor,,REP,Fayette,Precinct 1,67
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 1,144
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 1,4
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 1,2
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 1,1
,Straight Party,,Republican,Fayette,Precinct 4,15
,Straight Party,,Democratic,Fayette,Precinct 4,39
,Straight Party,,Mountain,Fayette,Precinct 4,1
Bill Maloney,Governor,,REP,Fayette,Precinct 4,103
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 4,105
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 4,5
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 4,3
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 4,0
,Straight Party,,Republican,Fayette,Precinct 5,13
,Straight Party,,Democratic,Fayette,Precinct 5,31
,Straight Party,,Mountain,Fayette,Precinct 5,1
Bill Maloney,Governor,,REP,Fayette,Precinct 5,35
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 5,86
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 5,3
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 5,1
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 5,0
,Straight Party,,Republican,Fayette,Precinct 8,9
,Straight Party,,Democratic,Fayette,Precinct 8,23
,Straight Party,,Mountain,Fayette,Precinct 8,1
Bill Maloney,Governor,,REP,Fayette,Precinct 8,80
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 8,83
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 8,10
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 8,0
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 8,1
,Straight Party,,Republican,Fayette,Precinct 9,3
,Straight Party,,Democratic,Fayette,Precinct 9,19
,Straight Party,,Mountain,Fayette,Precinct 9,0
Bill Maloney,Governor,,REP,Fayette,Precinct 9,44
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 9,63
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 9,1
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 9,0
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 9,0
,Straight Party,,Republican,Fayette,Precinct 10,8
,Straight Party,,Democratic,Fayette,Precinct 10,22
,Straight Party,,Mountain,Fayette,Precinct 10,1
Bill Maloney,Governor,,REP,Fayette,Precinct 10,64
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 10,113
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 10,7
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 10,2
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 10,0
,Straight Party,,Republican,Fayette,Precinct 11,17
,Straight Party,,Democratic,Fayette,Precinct 11,28
,Straight Party,,Mountain,Fayette,Precinct 11,0
Bill Maloney,Governor,,REP,Fayette,Precinct 11,103
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 11,118
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 11,4
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 11,3
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 11,0
,Straight Party,,Republican,Fayette,Precinct 12,16
,Straight Party,,Democratic,Fayette,Precinct 12,48
,Straight Party,,Mountain,Fayette,Precinct 12,0
Bill Maloney,Governor,,REP,Fayette,Precinct 12,56
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 12,136
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 12,3
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 12,1
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 12,2
,Straight Party,,Republican,Fayette,Precinct 13,5
,Straight Party,,Democratic,Fayette,Precinct 13,23
,Straight Party,,Mountain,Fayette,Precinct 13,1
Bill Maloney,Governor,,REP,Fayette,Precinct 13,75
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 13,91
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 13,1
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 13,1
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 13,1
,Straight Party,,Republican,Fayette,Precinct 25,9
,Straight Party,,Democratic,Fayette,Precinct 25,28
,Straight Party,,Mountain,Fayette,Precinct 25,1
Bill Maloney,Governor,,REP,Fayette,Precinct 25,62
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 25,93
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 25,4
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 25,1
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 25,0
,Straight Party,,Republican,Fayette,Precinct 17,8
,Straight Party,,Democratic,Fayette,Precinct 17,14
,Straight Party,,Mountain,Fayette,Precinct 17,0
Bill Maloney,Governor,,REP,Fayette,Precinct 17,55
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 17,52
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 17,2
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 17,2
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 17,0
,Straight Party,,Republican,Fayette,Precinct 18,5
,Straight Party,,Democratic,Fayette,Precinct 18,4
,Straight Party,,Mountain,Fayette,Precinct 18,0
Bill Maloney,Governor,,REP,Fayette,Precinct 18,30
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 18,47
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 18,1
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 18,0
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 18,0
,Straight Party,,Republican,Fayette,Precinct 19,12
,Straight Party,,Democratic,Fayette,Precinct 19,52
,Straight Party,,Mountain,Fayette,Precinct 19,1
Bill Maloney,Governor,,REP,Fayette,Precinct 19,60
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 19,142
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 19,8
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 19,4
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 19,1
,Straight Party,,Republican,Fayette,Precinct 23,14
,Straight Party,,Democratic,Fayette,Precinct 23,24
,Straight Party,,Mountain,Fayette,Precinct 23,1
Bill Maloney,Governor,,REP,Fayette,Precinct 23,52
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 23,66
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 23,2
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 23,0
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 23,0
,Straight Party,,Republican,Fayette,Precinct 24,7
,Straight Party,,Democratic,Fayette,Precinct 24,22
,Straight Party,,Mountain,Fayette,Precinct 24,1
Bill Maloney,Governor,,REP,Fayette,Precinct 24,38
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 24,45
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 24,1
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 24,0
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 24,0
,Straight Party,,Republican,Fayette,Precinct 26,3
,Straight Party,,Democratic,Fayette,Precinct 26,26
,Straight Party,,Mountain,Fayette,Precinct 26,0
Bill Maloney,Governor,,REP,Fayette,Precinct 26,18
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 26,66
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 26,0
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 26,0
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 26,0
,Straight Party,,Republican,Fayette,Precinct 28,7
,Straight Party,,Democratic,Fayette,Precinct 28,47
,Straight Party,,Mountain,Fayette,Precinct 28,1
Bill Maloney,Governor,,REP,Fayette,Precinct 28,41
Earl Ray Tomblin,Governor,,DEM,Fayette,Precinct 28,109
Bob Henry Baber,Governor,,MTN,Fayette,Precinct 28,3
Marla Dee Ingels,Governor,,IND,Fayette,Precinct 28,1
Harry V. Bertram,Governor,,ATP,Fayette,Precinct 28,1
,Straight Party,,Republican,Fayette,Precinct 29,7
,Straight Party,,Democratic,Fayette,Precinct 29,50
