candidate,office,district,party,county,precinct,total votes ,election day ,early voting 
,Registered Voters ,,Democratic,Lewis,Precinct 1,103,,
,Registered Voters ,,Republican ,Lewis,Precinct 1,36,,
,Ballots Cast ,,Democratic,Lewis,Precinct 1,33,33,0
,Ballots Cast ,,Republican ,Lewis,Precinct 1,19,19,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 1,14,14,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 1,0,0,0
John D. Perdue,Governor,,,Lewis,Precinct 1,3,3,0
Rick Thompson,Governor,,,Lewis,Precinct 1,5,5,0
Arne Moltis,Governor,,,Lewis,Precinct 1,0,0,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 1,11,11,0
Bill Maloney ,Governor,,,Lewis,Precinct 1,7,7,0
Ralph William Clark,Governor,,,Lewis,Precinct 1,0,0,0
Larry V. Faircloth,Governor,,,Lewis,Precinct 1,0,0,0
Mark A. Sorsaia,Governor,,,Lewis,Precinct 1,0,0,0
Clark Barnes,Governor,,,Lewis,Precinct 1,1,1,0
Cliff Ellis,Governor,,,Lewis,Precinct 1,1,1,0
Betty Ireland,Governor,,,Lewis,Precinct 1,10,10,0
Mitch B. Carmichael ,Governor,,,Lewis,Precinct 1,0,0,0
,Registered Voters ,,Democratic,Lewis,Precinct 2,134,,
,Registered Voters ,,Republican ,Lewis,Precinct 2,84,,
,Ballots Cast ,,Democratic,Lewis,Precinct 2,41,41,0
,Ballots Cast ,,Republican ,Lewis,Precinct 2,22,22,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 2,13,13,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 2,1,1,0
John D. Perdue,Governor,,,Lewis,Precinct 2,0,0,0
Rick Thompson,Governor,,,Lewis,Precinct 2,12,12,0
Arne Moltis,Governor,,,Lewis,Precinct 2,0,0,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 2,15,15,0
Bill Maloney ,Governor,,,Lewis,Precinct 2,5,5,0
Ralph William Clark,Governor,,,Lewis,Precinct 2,0,0,0
Larry V. Faircloth,Governor,,,Lewis,Precinct 2,0,0,0
Mark A. Sorsaia,Governor,,,Lewis,Precinct 2,0,0,0
Clark Barnes,Governor,,,Lewis,Precinct 2,4,4,0
Cliff Ellis,Governor,,,Lewis,Precinct 2,0,0,0
Betty Ireland,Governor,,,Lewis,Precinct 2,13,13,0
Mitch B. Carmichael ,Governor,,,Lewis,Precinct 2,0,0,0
,Registered Voters ,,Democratic,Lewis,Precinct 3,147,,0
,Registered Voters ,,Republican ,Lewis,Precinct 3,87,,
,Ballots Cast ,,Democratic,Lewis,Precinct 3,60,60,0
,Ballots Cast ,,Republican ,Lewis,Precinct 3,23,23,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 3,30,30,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 3,0,0,0
John D. Perdue,Governor,,,Lewis,Precinct 3,2,2,0
Rick Thompson,Governor,,,Lewis,Precinct 3,20,20,0
Arne Moltis,Governor,,,Lewis,Precinct 3,0,0,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 3,8,8,0
Bill Maloney ,Governor,,,Lewis,Precinct 3,16,16,0
Ralph William Clark,Governor,,,Lewis,Precinct 3,0,0,0
