candidate,office,district,party,county,precinct,votes
Bill Maloney,Governor,,R,Logan,Precinct 1,1
Ralph William Clark,Governor,,R,Logan,Precinct 1,2
Larry V. Faircloth,Governor,,R,Logan,Precinct 1,0
Mark A. Sorsaia,Governor,,R,Logan,Precinct 1,0
Clark Barnes,Governor,,R,Logan,Precinct 1,0
Cliff Ellis,Governor,,R,Logan,Precinct 1,0
Betty Ireland,Governor,,R,Logan,Precinct 1,1
Mitch B. Carmichael,Governor,,R,Logan,Precinct 1,1
Earl Ray Tomblin,Governor,,D,Logan,Precinct 1,246
Jeffrey V. Kessler,Governor,,D,Logan,Precinct 1,0
John D. Perdue,Governor,,D,Logan,Precinct 1,4
Rick Thompson,Governor,,D,Logan,Precinct 1,9
Arne Moltis,Governor,,D,Logan,Precinct 1,0
Natalie E. Tennant,Governor,,D,Logan,Precinct 1,3
Bill Maloney,Governor,,R,Logan,Precinct 2,5
Ralph William Clark,Governor,,R,Logan,Precinct 2,0
Larry V. Faircloth,Governor,,R,Logan,Precinct 2,0
Mark A. Sorsaia,Governor,,R,Logan,Precinct 2,0
Clark Barnes,Governor,,R,Logan,Precinct 2,1
Cliff Ellis,Governor,,R,Logan,Precinct 2,0
Betty Ireland,Governor,,R,Logan,Precinct 2,5
Mitch B. Carmichael,Governor,,R,Logan,Precinct 2,0
Earl Ray Tomblin,Governor,,D,Logan,Precinct 2,265
Jeffrey V. Kessler,Governor,,D,Logan,Precinct 2,0
John D. Perdue,Governor,,D,Logan,Precinct 2,8
Rick Thompson,Governor,,D,Logan,Precinct 2,11
Arne Moltis,Governor,,D,Logan,Precinct 2,0
Natalie E. Tennant,Governor,,D,Logan,Precinct 2,2
Bill Maloney,Governor,,R,Logan,Precinct 4,9
Ralph William Clark,Governor,,R,Logan,Precinct 4,0
Larry V. Faircloth,Governor,,R,Logan,Precinct 4,1
Mark A. Sorsaia,Governor,,R,Logan,Precinct 4,3
Clark Barnes,Governor,,R,Logan,Precinct 4,0
Cliff Ellis,Governor,,R,Logan,Precinct 4,0
Betty Ireland,Governor,,R,Logan,Precinct 4,11
Mitch B. Carmichael,Governor,,R,Logan,Precinct 4,0
Earl Ray Tomblin,Governor,,D,Logan,Precinct 4,244
Jeffrey V. Kessler,Governor,,D,Logan,Precinct 4,0
John D. Perdue,Governor,,D,Logan,Precinct 4,28
Rick Thompson,Governor,,D,Logan,Precinct 4,26
Arne Moltis,Governor,,D,Logan,Precinct 4,0
Natalie E. Tennant,Governor,,D,Logan,Precinct 4,3
Bill Maloney,Governor,,R,Logan,Precinct 5,7
Ralph William Clark,Governor,,R,Logan,Precinct 5,0
Larry V. Faircloth,Governor,,R,Logan,Precinct 5,0
Mark A. Sorsaia,Governor,,R,Logan,Precinct 5,2
Clark Barnes,Governor,,R,Logan,Precinct 5,1
Cliff Ellis,Governor,,R,Logan,Precinct 5,0
Betty Ireland,Governor,,R,Logan,Precinct 5,2
Mitch B. Carmichael,Governor,,R,Logan,Precinct 5,0
Earl Ray Tomblin,Governor,,D,Logan,Precinct 5,307
Jeffrey V. Kessler,Governor,,D,Logan,Precinct 5,0
John D. Perdue,Governor,,D,Logan,Precinct 5,12
Rick Thompson,Governor,,D,Logan,Precinct 5,22
Arne Moltis,Governor,,D,Logan,Precinct 5,0
Natalie E. Tennant,Governor,,D,Logan,Precinct 5,2
Bill Maloney,Governor,,R,Logan,Precinct 6,10
Ralph William Clark,Governor,,R,Logan,Precinct 6,0
Larry V. Faircloth,Governor,,R,Logan,Precinct 6,1
Mark A. Sorsaia,Governor,,R,Logan,Precinct 6,3
Clark Barnes,Governor,,R,Logan,Precinct 6,0
Cliff Ellis,Governor,,R,Logan,Precinct 6,0
Betty Ireland,Governor,,R,Logan,Precinct 6,9
Mitch B. Carmichael,Governor,,R,Logan,Precinct 6,0
Earl Ray Tomblin,Governor,,D,Logan,Precinct 6,218
Jeffrey V. Kessler,Governor,,D,Logan,Precinct 6,1
John D. Perdue,Governor,,D,Logan,Precinct 6,12
Rick Thompson,Governor,,D,Logan,Precinct 6,8
Arne Moltis,Governor,,D,Logan,Precinct 6,1
Natalie E. Tennant,Governor,,D,Logan,Precinct 6,0
Bill Maloney,Governor,,R,Logan,Precinct 7,8
Ralph William Clark,Governor,,R,Logan,Precinct 7,1
Larry V. Faircloth,Governor,,R,Logan,Precinct 7,0
Mark A. Sorsaia,Governor,,R,Logan,Precinct 7,2
Clark Barnes,Governor,,R,Logan,Precinct 7,2
Cliff Ellis,Governor,,R,Logan,Precinct 7,1
Betty Ireland,Governor,,R,Logan,Precinct 7,4
Mitch B. Carmichael,Governor,,R,Logan,Precinct 7,0
Earl Ray Tomblin,Governor,,D,Logan,Precinct 7,213
Jeffrey V. Kessler,Governor,,D,Logan,Precinct 7,0
John D. Perdue,Governor,,D,Logan,Precinct 7,2
Rick Thompson,Governor,,D,Logan,Precinct 7,6
Arne Moltis,Governor,,D,Logan,Precinct 7,0
Natalie E. Tennant,Governor,,D,Logan,Precinct 7,3
Bill Maloney,Governor,,R,Logan,Precinct 8,5
Ralph William Clark,Governor,,R,Logan,Precinct 8,0
Larry V. Faircloth,Governor,,R,Logan,Precinct 8,0
Mark A. Sorsaia,Governor,,R,Logan,Precinct 8,0
Clark Barnes,Governor,,R,Logan,Precinct 8,2
Cliff Ellis,Governor,,R,Logan,Precinct 8,0
Betty Ireland,Governor,,R,Logan,Precinct 8,0
Mitch B. Carmichael,Governor,,R,Logan,Precinct 8,0
Earl Ray Tomblin,Governor,,D,Logan,Precinct 8,79
Jeffrey V. Kessler,Governor,,D,Logan,Precinct 8,0
John D. Perdue,Governor,,D,Logan,Precinct 8,6
Rick Thompson,Governor,,D,Logan,Precinct 8,9
Arne Moltis,Governor,,D,Logan,Precinct 8,0
Natalie E. Tennant,Governor,,D,Logan,Precinct 8,1
Bill Maloney,Governor,,R,Logan,Precinct 10,1
Ralph William Clark,Governor,,R,Logan,Precinct 10,0
Larry V. Faircloth,Governor,,R,Logan,Precinct 10,0
Mark A. Sorsaia,Governor,,R,Logan,Precinct 10,0
Clark Barnes,Governor,,R,Logan,Precinct 10,0
Cliff Ellis,Governor,,R,Logan,Precinct 10,0
Betty Ireland,Governor,,R,Logan,Precinct 10,1
Mitch B. Carmichael,Governor,,R,Logan,Precinct 10,1
Earl Ray Tomblin,Governor,,D,Logan,Precinct 10,62
Jeffrey V. Kessler,Governor,,D,Logan,Precinct 10,0
John D. Perdue,Governor,,D,Logan,Precinct 10,4
Rick Thompson,Governor,,D,Logan,Precinct 10,2
Arne Moltis,Governor,,D,Logan,Precinct 10,0
Natalie E. Tennant,Governor,,D,Logan,Precinct 10,0
Bill Maloney,Governor,,R,Logan,Precinct 11,3
Ralph William Clark,Governor,,R,Logan,Precinct 11,1
Larry V. Faircloth,Governor,,R,Logan,Precinct 11,0
Mark A. Sorsaia,Governor,,R,Logan,Precinct 11,1
Clark Barnes,Governor,,R,Logan,Precinct 11,1
Cliff Ellis,Governor,,R,Logan,Precinct 11,0
Betty Ireland,Governor,,R,Logan,Precinct 11,6
Mitch B. Carmichael,Governor,,R,Logan,Precinct 11,0
Earl Ray Tomblin,Governor,,D,Logan,Precinct 11,86
Jeffrey V. Kessler,Governor,,D,Logan,Precinct 11,0
John D. Perdue,Governor,,D,Logan,Precinct 11,4
Rick Thompson,Governor,,D,Logan,Precinct 11,10
Arne Moltis,Governor,,D,Logan,Precinct 11,0
Natalie E. Tennant,Governor,,D,Logan,Precinct 11,5
Bill Maloney,Governor,,R,Logan,Precinct 13,2
Ralph William Clark,Governor,,R,Logan,Precinct 13,0
Larry V. Faircloth,Governor,,R,Logan,Precinct 13,0
Mark A. Sorsaia,Governor,,R,Logan,Precinct 13,1
Clark Barnes,Governor,,R,Logan,Precinct 13,0
Cliff Ellis,Governor,,R,Logan,Precinct 13,0
Betty Ireland,Governor,,R,Logan,Precinct 13,1
Mitch B. Carmichael,Governor,,R,Logan,Precinct 13,0
Earl Ray Tomblin,Governor,,D,Logan,Precinct 13,74
Jeffrey V. Kessler,Governor,,D,Logan,Precinct 13,0
John D. Perdue,Governor,,D,Logan,Precinct 13,7
Rick Thompson,Governor,,D,Logan,Precinct 13,6
Arne Moltis,Governor,,D,Logan,Precinct 13,0
Natalie E. Tennant,Governor,,D,Logan,Precinct 13,0
Bill Maloney,Governor,,R,Logan,Precinct 14,5
Ralph William Clark,Governor,,R,Logan,Precinct 14,0
Larry V. Faircloth,Governor,,R,Logan,Precinct 14,0
Mark A. Sorsaia,Governor,,R,Logan,Precinct 14,0
Clark Barnes,Governor,,R,Logan,Precinct 14,1
Cliff Ellis,Governor,,R,Logan,Precinct 14,0
Betty Ireland,Governor,,R,Logan,Precinct 14,5
Mitch B. Carmichael,Governor,,R,Logan,Precinct 14,0
Earl Ray Tomblin,Governor,,D,Logan,Precinct 14,80
Jeffrey V. Kessler,Governor,,D,Logan,Precinct 14,0
John D. Perdue,Governor,,D,Logan,Precinct 14,3
Rick Thompson,Governor,,D,Logan,Precinct 14,4
Arne Moltis,Governor,,D,Logan,Precinct 14,0
Natalie E. Tennant,Governor,,D,Logan,Precinct 14,2
Bill Maloney,Governor,,R,Logan,Precinct 15,15
Ralph William Clark,Governor,,R,Logan,Precinct 15,0
Larry V. Faircloth,Governor,,R,Logan,Precinct 15,0
Mark A. Sorsaia,Governor,,R,Logan,Precinct 15,0
Clark Barnes,Governor,,R,Logan,Precinct 15,2
Cliff Ellis,Governor,,R,Logan,Precinct 15,0
Betty Ireland,Governor,,R,Logan,Precinct 15,8
Mitch B. Carmichael,Governor,,R,Logan,Precinct 15,0
Earl Ray Tomblin,Governor,,D,Logan,Precinct 15,285
Jeffrey V. Kessler,Governor,,D,Logan,Precinct 15,0
John D. Perdue,Governor,,D,Logan,Precinct 15,10
Rick Thompson,Governor,,D,Logan,Precinct 15,36
Arne Moltis,Governor,,D,Logan,Precinct 15,0
Natalie E. Tennant,Governor,,D,Logan,Precinct 15,3
Bill Maloney,Governor,,R,Logan,Precinct 20,4
Ralph William Clark,Governor,,R,Logan,Precinct 20,0
Larry V. Faircloth,Governor,,R,Logan,Precinct 20,0
Mark A. Sorsaia,Governor,,R,Logan,Precinct 20,0
Clark Barnes,Governor,,R,Logan,Precinct 20,0
Cliff Ellis,Governor,,R,Logan,Precinct 20,0
Betty Ireland,Governor,,R,Logan,Precinct 20,5
Mitch B. Carmichael,Governor,,R,Logan,Precinct 20,0
Earl Ray Tomblin,Governor,,D,Logan,Precinct 20,119
Jeffrey V. Kessler,Governor,,D,Logan,Precinct 20,0
John D. Perdue,Governor,,D,Logan,Precinct 20,3
Rick Thompson,Governor,,D,Logan,Precinct 20,13
Arne Moltis,Governor,,D,Logan,Precinct 20,0
Natalie E. Tennant,Governor,,D,Logan,Precinct 20,5
Bill Maloney,Governor,,R,Logan,Precinct 21,1
Ralph William Clark,Governor,,R,Logan,Precinct 21,0
Larry V. Faircloth,Governor,,R,Logan,Precinct 21,0
Mark A. Sorsaia,Governor,,R,Logan,Precinct 21,0
Clark Barnes,Governor,,R,Logan,Precinct 21,0
Cliff Ellis,Governor,,R,Logan,Precinct 21,0
Betty Ireland,Governor,,R,Logan,Precinct 21,0
Mitch B. Carmichael,Governor,,R,Logan,Precinct 21,0
Earl Ray Tomblin,Governor,,D,Logan,Precinct 21,86
Jeffrey V. Kessler,Governor,,D,Logan,Precinct 21,0
John D. Perdue,Governor,,D,Logan,Precinct 21,0
Rick Thompson,Governor,,D,Logan,Precinct 21,8
Arne Moltis,Governor,,D,Logan,Precinct 21,0
Natalie E. Tennant,Governor,,D,Logan,Precinct 21,3
Bill Maloney,Governor,,R,Logan,Precinct 22,0
Ralph William Clark,Governor,,R,Logan,Precinct 22,0
Larry V. Faircloth,Governor,,R,Logan,Precinct 22,0
Mark A. Sorsaia,Governor,,R,Logan,Precinct 22,0
Clark Barnes,Governor,,R,Logan,Precinct 22,1
Cliff Ellis,Governor,,R,Logan,Precinct 22,0
Betty Ireland,Governor,,R,Logan,Precinct 22,0
Mitch B. Carmichael,Governor,,R,Logan,Precinct 22,0
Earl Ray Tomblin,Governor,,D,Logan,Precinct 22,52
