year,election,office,party,candidate,county,votes,winner
1954,primary,President,DEM,Adlai Stevenson,Totals,381533,
1954,primary,President,DEM,Adlai Stevenson,Barbour,3706,
1954,primary,President,DEM,Adlai Stevenson,Berkeley,5649,
1954,primary,President,DEM,Adlai Stevenson,Boone,7126,
1954,primary,President,DEM,Adlai Stevenson,Braxton,3913,
1954,primary,President,DEM,Adlai Stevenson,Brooke,7072,
1954,primary,President,DEM,Adlai Stevenson,Cabell,18408,
1954,primary,President,DEM,Adlai Stevenson,Calhoun,1928,
1954,primary,President,DEM,Adlai Stevenson,Clay,2628,
1954,primary,President,DEM,Adlai Stevenson,Doddridge,935,
1954,primary,President,DEM,Adlai Stevenson,Fayette,16286,
1954,primary,President,DEM,Adlai Stevenson,Gilmer,2016,
1954,primary,President,DEM,Adlai Stevenson,Grant,634,
1954,primary,President,DEM,Adlai Stevenson,Greenbrier,6817,
1954,primary,President,DEM,Adlai Stevenson,Hampshire,2356,
1954,primary,President,DEM,Adlai Stevenson,Hancock,9524,
1954,primary,President,DEM,Adlai Stevenson,Hardy,2259,
1954,primary,President,DEM,Adlai Stevenson,Harrison,17541,
1954,primary,President,DEM,Adlai Stevenson,Jackson,2596,
1954,primary,President,DEM,Adlai Stevenson,Jefferson,3353,
1954,primary,President,DEM,Adlai Stevenson,Kanawha,50289,
1954,primary,President,DEM,Adlai Stevenson,Lewis,3194,
1954,primary,President,DEM,Adlai Stevenson,Lincoln,4972,
1954,primary,President,DEM,Adlai Stevenson,Logan,14794,
1954,primary,President,DEM,Adlai Stevenson,Marion,16192,
1954,primary,President,DEM,Adlai Stevenson,Marshall,7463,
1954,primary,President,DEM,Adlai Stevenson,Mason,3769,
1954,primary,President,DEM,Adlai Stevenson,Mercer,13236,
1954,primary,President,DEM,Adlai Stevenson,Mineral,3588,
1954,primary,President,DEM,Adlai Stevenson,Mingo,10014,
1954,primary,President,DEM,Adlai Stevenson,Monongalia,11016,
1954,primary,President,DEM,Adlai Stevenson,Monroe,2772,
1954,primary,President,DEM,Adlai Stevenson,Morgan,1104,
1954,primary,President,DEM,Adlai Stevenson,McDowell,16865,
1954,primary,President,DEM,Adlai Stevenson,Nicholas,4880,
1954,primary,President,DEM,Adlai Stevenson,Ohio,13191,
1954,primary,President,DEM,Adlai Stevenson,Pendleton,1999,
1954,primary,President,DEM,Adlai Stevenson,Pleasants,1581,
1954,primary,President,DEM,Adlai Stevenson,Pocahontas,2533,
1954,primary,President,DEM,Adlai Stevenson,Preston,3365,
1954,primary,President,DEM,Adlai Stevenson,Putnam,4754,
1954,primary,President,DEM,Adlai Stevenson,Raleigh,16264,
1954,primary,President,DEM,Adlai Stevenson,Randolph,5697,
1954,primary,President,DEM,Adlai Stevenson,Ritchie,1471,
1954,primary,President,DEM,Adlai Stevenson,Roane,3153,
1954,primary,President,DEM,Adlai Stevenson,Summers,3865,
1954,primary,President,DEM,Adlai Stevenson,Taylor,3079,
1954,primary,President,DEM,Adlai Stevenson,Tucker,2129,
1954,primary,President,DEM,Adlai Stevenson,Tyler,1318,
1954,primary,President,DEM,Adlai Stevenson,Upshur,2081,
1954,primary,President,DEM,Adlai Stevenson,Wayne,7655,
1954,primary,President,DEM,Adlai Stevenson,Webster,3072,
1954,primary,President,DEM,Adlai Stevenson,Wetzel,3809,
1954,primary,President,DEM,Adlai Stevenson,Wirt,1184,
1954,primary,President,DEM,Adlai Stevenson,Wood,13320,
1954,primary,President,DEM,Adlai Stevenson,Wyoming,7118,
1954,primary,President,REP,Dwight D. Eisenhower,Totals,449297,TRUE
1954,primary,President,REP,Dwight D. Eisenhower,Barbour,4460,
1954,primary,President,REP,Dwight D. Eisenhower,Berkeley,9071,
1954,primary,President,REP,Dwight D. Eisenhower,Boone,5196,
1954,primary,President,REP,Dwight D. Eisenhower,Braxton,3441,
1954,primary,President,REP,Dwight D. Eisenhower,Brooke,5944,
1954,primary,President,REP,Dwight D. Eisenhower,Cabell,28882,
1954,primary,President,REP,Dwight D. Eisenhower,Calhoun,2094,
1954,primary,President,REP,Dwight D. Eisenhower,Clay,2820,
1954,primary,President,REP,Dwight D. Eisenhower,Doddridge,2594,
1954,primary,President,REP,Dwight D. Eisenhower,Fayette,10218,
