year,election,office,party,district,candidate,county,votes,winner
1956,general,Circuit Judge,DEM,5,J.M. Harper,Totals,12249,
1956,general,Circuit Judge,DEM,5,J.M. Harper,Calhoun,2089,
1956,general,Circuit Judge,DEM,5,J.M. Harper,Jackson,2697,
1956,general,Circuit Judge,DEM,5,J.M. Harper,Mason,3856,
1956,general,Circuit Judge,DEM,5,J.M. Harper,Roane,3607,
1956,general,Circuit Judge,REP,5,Oliver D. Kessel,Totals,16064,TRUE
1956,general,Circuit Judge,REP,5,Oliver D. Kessel,Calhoun,1648,
1956,general,Circuit Judge,REP,5,Oliver D. Kessel,Jackson,4644,
1956,general,Circuit Judge,REP,5,Oliver D. Kessel,Mason,5724,
1956,general,Circuit Judge,REP,5,Oliver D. Kessel,Roane,4048,
