year,election,office,party,candidate,county,votes,winner
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Totals,399493,TRUE
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Barbour,3800,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Berkeley,6264,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Boone,7247,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Braxton,4134,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Brooke,7188,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Cabell,19543,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Calhoun,2065,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Clay,2692,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Doddridge,998,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Fayette,16809,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Gilmer,2104,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Grant,665,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Greenbrier,7239,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Hampshire,2501,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Hancock,9604,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Hardy,2416,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Harrison,18180,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Jackson,2755,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Jefferson,3499,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Kanawha,51996,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Lewis,3712,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Lincoln,5041,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Logan,15063,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Marion,16219,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Marshall,7727,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Mason,3860,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Mercer,14305,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Mineral,3813,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Mingo,10388,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Monongalia,11258,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Monroe,2896,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Morgan,1051,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,McDowell,17309,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Nicholas,5147,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Ohio,14281,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Pendleton,2014,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Pleasants,1757,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Pocahontas,2721,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Preston,3337,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Putnam,4878,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Raleigh,17052,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Randolph,5964,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Ritchie,1583,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Roane,3206,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Summers,4086,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Taylor,3139,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Tucker,2061,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Tyler,1447,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Upshur,2166,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Wayne,7871,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Webster,3015,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Wetzel,4192,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Wirt,1165,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Wood,16660,
1956,general,Commissioner of Agriculture,DEM,John T. Johnson,Wyoming,7410,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Totals,379865,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Barbour,3761,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Berkeley,7675,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Boone,4072,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Braxton,2836,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Brooke,4765,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Cabell,25383,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Calhoun,1613,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Clay,2498,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Doddridge,2311,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Fayette,7966,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Gilmer,1396,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Grant,3127,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Greenbrier,6035,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Hampshire,1781,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Hancock,6777,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Hardy,1581,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Harrison,18831,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Jackson,4525,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Jefferson,2601,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Kanawha,53337,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Lewis,5023,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Lincoln,4560,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Logan,8903,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Marion,14558,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Marshall,8926,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Mason,5600,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Mercer,11620,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Mineral,5489,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Mingo,6453,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Monongalia,12716,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Monroe,3189,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Morgan,2629,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,McDowell,8445,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Nicholas,4154,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Ohio,18665,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Pendleton,1635,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Pleasants,1826,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Pocahontas,2469,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Preston,7338,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Putnam,4984,
1956,general,Commissioner of Agriculture,REP,Nicholas M. Homes,Raleigh,12567,
