year,election,office,party,candidate,county,votes,winner
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Totals,396658,TRUE
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Barbour,3424,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Berkeley,6148,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Boone,7273,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Braxton,4029,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Brooke,7199,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Cabell,20033,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Calhoun,1978,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Clay,2694,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Doddridge,926,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Fayette,16975,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Gilmer,2024,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Grant,595,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Greenbrier,7051,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Hampshire,2369,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Hancock,9603,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Hardy,2214,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Harrison,17900,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Jackson,2654,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Jefferson,3466,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Kanawha,53445,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Lewis,3343,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Lincoln,5037,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Logan,15119,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Marion,16700,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Marshall,7739,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Mason,3839,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Mercer,14380,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Mineral,3723,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Mingo,10315,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Monongalia,11251,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Monroe,2878,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Morgan,1042,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,McDowell,17437,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Nicholas,5341,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Ohio,14708,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Pendleton,1969,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Pleasants,1650,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Pocahontas,2580,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Preston,3208,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Putnam,4944,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Raleigh,17322,
1956,general,Judge of the Supreme Court of Appeals,DEM,Leslie E. Given,Randolph,5636,
