year,election,office,district,party,candidate,county,votes,winner
1950,primary,State Senate,1,DEM,Thomas M. Campbell,Totals,5050,TRUE
1950,primary,State Senate,1,DEM,Thomas M. Campbell,Brooke,1364,
1950,primary,State Senate,1,DEM,Thomas M. Campbell,Hancock,1649,
1950,primary,State Senate,1,DEM,Thomas M. Campbell,Ohio,2037,
1950,primary,State Senate,1,DEM,Benjamin L. Rosenbloom,Totals,2806,
1950,primary,State Senate,1,DEM,Benjamin L. Rosenbloom,Brooke,548,
1950,primary,State Senate,1,DEM,Benjamin L. Rosenbloom,Hancock,375,
1950,primary,State Senate,1,DEM,Benjamin L. Rosenbloom,Ohio,1883,
1950,primary,State Senate,2,DEM,John Storm,Totals,1649,
1950,primary,State Senate,2,DEM,John Storm,Marshall,745,
1950,primary,State Senate,2,DEM,John Storm,Tyler,167,
1950,primary,State Senate,2,DEM,John Storm,Wetzel,737,
1950,primary,State Senate,2,DEM,Mrs. Joe Yoho,Totals,2148,TRUE
1950,primary,State Senate,2,DEM,Mrs. Joe Yoho,Marshall,1007,
1950,primary,State Senate,2,DEM,Mrs. Joe Yoho,Tyler,158,
1950,primary,State Senate,2,DEM,Mrs. Joe Yoho,Wetzel,983,
1950,primary,State Senate,3,DEM,Dorr Casto,Totals,4634,TRUE
1950,primary,State Senate,3,DEM,Dorr Casto,Calhoun,627,
1950,primary,State Senate,3,DEM,Dorr Casto,Gilmer,667,
1950,primary,State Senate,3,DEM,Dorr Casto,Pleasants,139,
1950,primary,State Senate,3,DEM,Dorr Casto,Ritchie,223,
1950,primary,State Senate,3,DEM,Dorr Casto,Wirt,466,
1950,primary,State Senate,3,DEM,Dorr Casto,Wood,2512,
1950,primary,State Senate,3,DEM,Arthur B. Smith,Totals,3484,
1950,primary,State Senate,3,DEM,Arthur B. Smith,Calhoun,569,
1950,primary,State Senate,3,DEM,Arthur B. Smith,Gilmer,835,
1950,primary,State Senate,3,DEM,Arthur B. Smith,Pleasants,212,
1950,primary,State Senate,3,DEM,Arthur B. Smith,Ritchie,194,
1950,primary,State Senate,3,DEM,Arthur B. Smith,Wirt,224,
1950,primary,State Senate,3,DEM,Arthur B. Smith,Wood,1450,
1950,primary,State Senate,5,DEM,Wm. C. (Billy) Campbell,Totals,9332,
1950,primary,State Senate,5,DEM,Wm. C. (Billy) Campbell,Cabell,7123,
1950,primary,State Senate,5,DEM,Wm. C. (Billy) Campbell,Wayne,2209,
1950,primary,State Senate,5,DEM,A.R. (Snooks) Winters,Totals,9630,TRUE
1950,primary,State Senate,5,DEM,A.R. (Snooks) Winters,Cabell,6895,
1950,primary,State Senate,5,DEM,A.R. (Snooks) Winters,Wayne,2735,
1950,primary,State Senate,6,DEM,Toney E. Cline,Totals,8025,
1950,primary,State Senate,6,DEM,Toney E. Cline,McDowell,3632,
1950,primary,State Senate,6,DEM,Toney E. Cline,Mingo,4393,
1950,primary,State Senate,6,DEM,Glenn Taylor,Totals,10981,TRUE
1950,primary,State Senate,6,DEM,Glenn Taylor,McDowell,3635,
1950,primary,State Senate,6,DEM,Glenn Taylor,Mingo,7346,
1950,primary,State Senate,7,DEM,Lloyd G. Jackson,Totals,13173,TRUE
1950,primary,State Senate,7,DEM,Lloyd G. Jackson,Boone,2157,
1950,primary,State Senate,7,DEM,Lloyd G. Jackson,Lincoln,1842,
1950,primary,State Senate,7,DEM,Lloyd G. Jackson,Logan,9174,
1950,primary,State Senate,7,DEM,Jakie M. Meadows,Totals,3645,
1950,primary,State Senate,7,DEM,Jakie M. Meadows,Boone,963,
1950,primary,State Senate,7,DEM,Jakie M. Meadows,Lincoln,1152,
1950,primary,State Senate,7,DEM,Jakie M. Meadows,Logan,1530,
1950,primary,State Senate,8,DEM,Charles M. Love,Totals,14968,TRUE
1950,primary,State Senate,8,DEM,Charles M. Love,Kanawha,14968,
1950,primary,State Senate,9,DEM,Robert C. Byrd,Totals,9819,TRUE
1950,primary,State Senate,9,DEM,Robert C. Byrd,Raleigh,7168,
1950,primary,State Senate,9,DEM,Robert C. Byrd,Wyoming,2651,
1950,primary,State Senate,9,DEM,Clay S. Crouse,Totals,8520,
1950,primary,State Senate,9,DEM,Clay S. Crouse,Raleigh,3702,
1950,primary,State Senate,9,DEM,Clay S. Crouse,Wyoming,4818,
1950,primary,State Senate,10,DEM,"William J.B. Simmons, Sr.",Totals,3295,
1950,primary,State Senate,10,DEM,"William J.B. Simmons, Sr.",Mercer,2170,
1950,primary,State Senate,10,DEM,"William J.B. Simmons, Sr.",Monroe,234,
1950,primary,State Senate,10,DEM,"William J.B. Simmons, Sr.",Summers,891,
1950,primary,State Senate,10,DEM,J. Lynn Swiger,Totals,6013,TRUE
1950,primary,State Senate,10,DEM,J. Lynn Swiger,Mercer,3805,
1950,primary,State Senate,10,DEM,J. Lynn Swiger,Monroe,524,
1950,primary,State Senate,10,DEM,J. Lynn Swiger,Summers,1684,
1950,primary,State Senate,11,DEM,John H. Bowlings,Totals,7360,TRUE
1950,primary,State Senate,11,DEM,John H. Bowlings,Fayette,4941,
1950,primary,State Senate,11,DEM,John H. Bowlings,Greenbrier,2419,
1950,primary,State Senate,11,DEM,W. A. Crinchton,Totals,3078,
1950,primary,State Senate,11,DEM,W. A. Crinchton,Fayette,2046,
1950,primary,State Senate,11,DEM,W. A. Crinchton,Greenbrier,1032,
1950,primary,State Senate,12,DEM,W.C. Cooper,Totals,2728,
1950,primary,State Senate,12,DEM,W.C. Cooper,Braxton,435,
1950,primary,State Senate,12,DEM,W.C. Cooper,Nicholas,188,
1950,primary,State Senate,12,DEM,W.C. Cooper,Pendleton,89,
1950,primary,State Senate,12,DEM,W.C. Cooper,Pocahontas,68,
1950,primary,State Senate,12,DEM,W.C. Cooper,Randolph,267,
1950,primary,State Senate,12,DEM,W.C. Cooper,Webster,1681,
1950,primary,State Senate,12,DEM,Wendell H. Holt,Totals,3985,
1950,primary,State Senate,12,DEM,Wendell H. Holt,Braxton,727,
1950,primary,State Senate,12,DEM,Wendell H. Holt,Nicholas,1291,
1950,primary,State Senate,12,DEM,Wendell H. Holt,Pendleton,250,
1950,primary,State Senate,12,DEM,Wendell H. Holt,Pocahontas,328,
1950,primary,State Senate,12,DEM,Wendell H. Holt,Randolph,1011,
1950,primary,State Senate,12,DEM,Wendell H. Holt,Webster,378,
1950,primary,State Senate,12,DEM,I. Ray McCutcheon,Totals,2087,
1950,primary,State Senate,12,DEM,I. Ray McCutcheon,Braxton,585,
1950,primary,State Senate,12,DEM,I. Ray McCutcheon,Nicholas,965,
1950,primary,State Senate,12,DEM,I. Ray McCutcheon,Pendleton,102,
1950,primary,State Senate,12,DEM,I. Ray McCutcheon,Pocahontas,70,
1950,primary,State Senate,12,DEM,I. Ray McCutcheon,Randolph,78,
1950,primary,State Senate,12,DEM,I. Ray McCutcheon,Webster,287,
1950,primary,State Senate,12,DEM,Henry J. McKinley,Totals,5184,TRUE
1950,primary,State Senate,12,DEM,Henry J. McKinley,Braxton,758,
1950,primary,State Senate,12,DEM,Henry J. McKinley,Nicholas,297,
1950,primary,State Senate,12,DEM,Henry J. McKinley,Pendleton,777,
1950,primary,State Senate,12,DEM,Henry J. McKinley,Pocahontas,256,
1950,primary,State Senate,12,DEM,Henry J. McKinley,Randolph,2834,
1950,primary,State Senate,12,DEM,Henry J. McKinley,Webster,262,
1950,primary,State Senate,13,DEM,Walter A. Holden,Totals,7491,TRUE
1950,primary,State Senate,13,DEM,Walter A. Holden,Gilmer,315,
1950,primary,State Senate,13,DEM,Walter A. Holden,Harrison,5749,
1950,primary,State Senate,13,DEM,Walter A. Holden,Lewis,1427,
1950,primary,State Senate,14,DEM,Don J. Eddy,Totals,9962,TRUE
1950,primary,State Senate,14,DEM,Don J. Eddy,Marion,6212,
1950,primary,State Senate,14,DEM,Don J. Eddy,Monongalia,2861,
1950,primary,State Senate,14,DEM,Don J. Eddy,Taylor,889,
1950,primary,State Senate,16,DEM,A.G. Davison,Totals,2399,
1950,primary,State Senate,16,DEM,A.G. Davison,Berkeley,360,
1950,primary,State Senate,16,DEM,A.G. Davison,Hampshire,261,
1950,primary,State Senate,16,DEM,A.G. Davison,Hardy,561,
1950,primary,State Senate,16,DEM,A.G. Davison,Jefferson,360,
1950,primary,State Senate,16,DEM,A.G. Davison,Mineral,358,
1950,primary,State Senate,16,DEM,A.G. Davison,Morgan,499,
1950,primary,State Senate,16,DEM,"Clarence E. Martin, Jr.",Totals,4313,TRUE
1950,primary,State Senate,16,DEM,"Clarence E. Martin, Jr.",Berkeley,1012,
1950,primary,State Senate,16,DEM,"Clarence E. Martin, Jr.",Hampshire,476,
1950,primary,State Senate,16,DEM,"Clarence E. Martin, Jr.",Hardy,596,
1950,primary,State Senate,16,DEM,"Clarence E. Martin, Jr.",Jefferson,1429,
1950,primary,State Senate,16,DEM,"Clarence E. Martin, Jr.",Mineral,674,
1950,primary,State Senate,16,DEM,"Clarence E. Martin, Jr.",Morgan,126,
1950,primary,State Senate,1,REP,E.J. Flaccus,Totals,5092,
1950,primary,State Senate,1,REP,E.J. Flaccus,Brooke,586,
1950,primary,State Senate,1,REP,E.J. Flaccus,Hancock,382,
1950,primary,State Senate,1,REP,E.J. Flaccus,Ohio,4124,
1950,primary,State Senate,1,REP,Wm. A. Hannig,Totals,6829,TRUE
1950,primary,State Senate,1,REP,Wm. A. Hannig,Brooke,1488,
1950,primary,State Senate,1,REP,Wm. A. Hannig,Hancock,1455,
1950,primary,State Senate,1,REP,Wm. A. Hannig,Ohio,3886,
1950,primary,State Senate,2,REP,John E. Carrigan,Totals,3336,TRUE
1950,primary,State Senate,2,REP,John E. Carrigan,Marshall,2140,
1950,primary,State Senate,2,REP,John E. Carrigan,Tyler,750,
1950,primary,State Senate,2,REP,John E. Carrigan,Wetzel,446,
1950,primary,State Senate,2,REP,Paul T. Sullivan,Totals,2242,
1950,primary,State Senate,2,REP,Paul T. Sullivan,Marshall,1195,
1950,primary,State Senate,2,REP,Paul T. Sullivan,Tyler,710,
1950,primary,State Senate,2,REP,Paul T. Sullivan,Wetzel,337,
1950,primary,State Senate,3,REP,John H. Brown,Totals,3429,
1950,primary,State Senate,3,REP,John H. Brown,Calhoun,154,
1950,primary,State Senate,3,REP,John H. Brown,Gilmer,214,
1950,primary,State Senate,3,REP,John H. Brown,Pleasants,116,
1950,primary,State Senate,3,REP,John H. Brown,Ritchie,508,
1950,primary,State Senate,3,REP,John H. Brown,Wirt,286,
1950,primary,State Senate,3,REP,John H. Brown,Wood,2151,
1950,primary,State Senate,3,REP,W.R. (Bill) Clinger,Totals,1508,
1950,primary,State Senate,3,REP,W.R. (Bill) Clinger,Calhoun,77,
1950,primary,State Senate,3,REP,W.R. (Bill) Clinger,Gilmer,104,
1950,primary,State Senate,3,REP,W.R. (Bill) Clinger,Pleasants,70,
1950,primary,State Senate,3,REP,W.R. (Bill) Clinger,Ritchie,267,
1950,primary,State Senate,3,REP,W.R. (Bill) Clinger,Wirt,125,
1950,primary,State Senate,3,REP,W.R. (Bill) Clinger,Wood,865,
1950,primary,State Senate,3,REP,Andy Swearingen,Totals,3922,TRUE
1950,primary,State Senate,3,REP,Andy Swearingen,Calhoun,98,
1950,primary,State Senate,3,REP,Andy Swearingen,Gilmer,130,
1950,primary,State Senate,3,REP,Andy Swearingen,Pleasants,142,
1950,primary,State Senate,3,REP,Andy Swearingen,Ritchie,637,
1950,primary,State Senate,3,REP,Andy Swearingen,Wirt,244,
1950,primary,State Senate,3,REP,Andy Swearingen,Wood,2671,
1950,primary,State Senate,4,REP,Charles E. Baker,Totals,2919,
1950,primary,State Senate,4,REP,Charles E. Baker,Clay,19,
1950,primary,State Senate,4,REP,Charles E. Baker,Jackson,1155,
1950,primary,State Senate,4,REP,Charles E. Baker,Mason,1214,
1950,primary,State Senate,4,REP,Charles E. Baker,Putnam,138,
1950,primary,State Senate,4,REP,Charles E. Baker,Roane,393,
1950,primary,State Senate,4,REP,Porter E. Hyer,Totals,342,
1950,primary,State Senate,4,REP,Porter E. Hyer,Clay,125,
1950,primary,State Senate,4,REP,Porter E. Hyer,Jackson,34,
1950,primary,State Senate,4,REP,Porter E. Hyer,Mason,74,
1950,primary,State Senate,4,REP,Porter E. Hyer,Putnam,30,
1950,primary,State Senate,4,REP,Porter E. Hyer,Roane,79,
1950,primary,State Senate,4,REP,Lawrence Opie Jeffries,Totals,862,
1950,primary,State Senate,4,REP,Lawrence Opie Jeffries,Clay,6,
1950,primary,State Senate,4,REP,Lawrence Opie Jeffries,Jackson,62,
1950,primary,State Senate,4,REP,Lawrence Opie Jeffries,Mason,74,
