year,election,office,district,party,candidate,county,votes,winner
1950,general,State Senate,1,DEM,Thomas M. Campbell,Totals,21613,
1950,general,State Senate,1,DEM,Thomas M. Campbell,Brooke,4758,
1950,general,State Senate,1,DEM,Thomas M. Campbell,Hancock,6033,
1950,general,State Senate,1,DEM,Thomas M. Campbell,Ohio,10822,
1950,general,State Senate,1,REP,William A. Hannig,Totals,25132,TRUE
1950,general,State Senate,1,REP,William A. Hannig,Brooke,4126,
1950,general,State Senate,1,REP,William A. Hannig,Hancock,4864,
1950,general,State Senate,1,REP,William A. Hannig,Ohio,16142,
1950,general,State Senate,2,DEM,Mrs. Joe Yoho,Totals,11210,
1950,general,State Senate,2,DEM,Mrs. Joe Yoho,Marshall,6409,
1950,general,State Senate,2,DEM,Mrs. Joe Yoho,Tyler,1232,
1950,general,State Senate,2,DEM,Mrs. Joe Yoho,Wetzel,3569,
1950,general,State Senate,2,REP,John E. Carrigan,Totals,13664,TRUE
1950,general,State Senate,2,REP,John E. Carrigan,Marshall,7350,
1950,general,State Senate,2,REP,John E. Carrigan,Tyler,2828,
1950,general,State Senate,2,REP,John E. Carrigan,Wetzel,3486,
1950,general,State Senate,3,DEM,Dorr Casto,Totals,21447,
1950,general,State Senate,3,DEM,Dorr Casto,Calhoun,2045,
1950,general,State Senate,3,DEM,Dorr Casto,Gilmer,2130,
1950,general,State Senate,3,DEM,Dorr Casto,Pleasants,1413,
1950,general,State Senate,3,DEM,Dorr Casto,Ritchie,1412,
1950,general,State Senate,3,DEM,Dorr Casto,Wirt,1216,
1950,general,State Senate,3,DEM,Dorr Casto,Wood,13231,
1950,general,State Senate,3,REP,Andy Swearingen,Totals,23393,TRUE
1950,general,State Senate,3,REP,Andy Swearingen,Calhoun,1442,
1950,general,State Senate,3,REP,Andy Swearingen,Gilmer,1162,
1950,general,State Senate,3,REP,Andy Swearingen,Pleasants,1453,
1950,general,State Senate,3,REP,Andy Swearingen,Ritchie,3296,
1950,general,State Senate,3,REP,Andy Swearingen,Wirt,1172,
1950,general,State Senate,3,REP,Andy Swearingen,Wood,14868,
1950,general,State Senate,4,DEM,Foster Hedges,Totals,16330,
1950,general,State Senate,4,DEM,Foster Hedges,Clay,2415,
1950,general,State Senate,4,DEM,Foster Hedges,Jackson,2656,
1950,general,State Senate,4,DEM,Foster Hedges,Mason,3894,
1950,general,State Senate,4,DEM,Foster Hedges,Putnam,3768,
1950,general,State Senate,4,DEM,Foster Hedges,Roane,3597,
1950,general,State Senate,4,REP,E. Ray Reed,Totals,17863,TRUE
1950,general,State Senate,4,REP,E. Ray Reed,Clay,2089,
1950,general,State Senate,4,REP,E. Ray Reed,Jackson,3797,
1950,general,State Senate,4,REP,E. Ray Reed,Mason,4703,
1950,general,State Senate,4,REP,E. Ray Reed,Putnam,3476,
1950,general,State Senate,4,REP,E. Ray Reed,Roane,3798,
1950,general,State Senate,5,DEM,A.R. (Snooks) Winters,Totals,25068,TRUE
1950,general,State Senate,5,DEM,A.R. (Snooks) Winters,Cabell,18603,
1950,general,State Senate,5,DEM,A.R. (Snooks) Winters,Wayne,6465,
1950,general,State Senate,5,REP,J. Shelby Christian,Totals,20657,
1950,general,State Senate,5,REP,J. Shelby Christian,Cabell,16606,
1950,general,State Senate,5,REP,J. Shelby Christian,Wayne,4051,
1950,general,State Senate,6,DEM,Glenn Taylor,Totals,28097,TRUE
1950,general,State Senate,6,DEM,Glenn Taylor,McDowell,9393,
1950,general,State Senate,6,DEM,Glenn Taylor,Mingo,18704,
1950,general,State Senate,6,REP,Enoch L. Fillinger,Totals,10622,
1950,general,State Senate,6,REP,Enoch L. Fillinger,McDowell,3944,
1950,general,State Senate,6,REP,Enoch L. Fillinger,Mingo,6678,
1950,general,State Senate,7,DEM,Lloyd G. Jackson,Totals,26810,TRUE
1950,general,State Senate,7,DEM,Lloyd G. Jackson,Boone,6219,
1950,general,State Senate,7,DEM,Lloyd G. Jackson,Lincoln,4527,
1950,general,State Senate,7,DEM,Lloyd G. Jackson,Logan,16064,
1950,general,State Senate,8,DEM,Charles M. Love,Totals,46265,TRUE
1950,general,State Senate,8,DEM,Charles M. Love,Kanawha,46265,
1950,general,State Senate,8,REP,L.F. Poffenbarger,Totals,35918,
1950,general,State Senate,8,REP,L.F. Poffenbarger,Kanawha,35918,
1950,general,State Senate,9,DEM,Robert C. Byrd,Totals,23843,TRUE
1950,general,State Senate,9,DEM,Robert C. Byrd,Raleigh,16839,
1950,general,State Senate,9,DEM,Robert C. Byrd,Wyoming,7004,
1950,general,State Senate,9,REP,A.D. Cooke,Totals,12355,
1950,general,State Senate,9,REP,A.D. Cooke,Raleigh,8908,
1950,general,State Senate,9,REP,A.D. Cooke,Wyoming,3447,
1950,general,State Senate,10,DEM,J. Lynn Swiger,Totals,17758,TRUE
1950,general,State Senate,10,DEM,J. Lynn Swiger,Mercer,12429,
1950,general,State Senate,10,DEM,J. Lynn Swiger,Monroe,2353,
1950,general,State Senate,10,DEM,J. Lynn Swiger,Summers,2976,
1950,general,State Senate,10,REP,Harold B. Eagle,Totals,13531,
1950,general,State Senate,10,REP,Harold B. Eagle,Mercer,8301,
1950,general,State Senate,10,REP,Harold B. Eagle,Monroe,2464,
1950,general,State Senate,10,REP,Harold B. Eagle,Summers,2766,
1950,general,State Senate,11,DEM,John H. Bowling,Totals,22996,TRUE
1950,general,State Senate,11,DEM,John H. Bowling,Fayette,16985,
1950,general,State Senate,11,DEM,John H. Bowling,Greenbrier,6011,
1950,general,State Senate,11,REP,C. Laird Wall,Totals,9386,
1950,general,State Senate,11,REP,C. Laird Wall,Fayette,6108,
1950,general,State Senate,11,REP,C. Laird Wall,Greenbrier,3278,
1950,general,State Senate,12,DEM,Henry J. McKinley,Totals,22802,TRUE
1950,general,State Senate,12,DEM,Henry J. McKinley,Braxton,4034,
1950,general,State Senate,12,DEM,Henry J. McKinley,Nicholas,4292,
1950,general,State Senate,12,DEM,Henry J. McKinley,Pendleton,1922,
1950,general,State Senate,12,DEM,Henry J. McKinley,Pocahontas,2625,
1950,general,State Senate,12,DEM,Henry J. McKinley,Randolph,6837,
1950,general,State Senate,12,DEM,Henry J. McKinley,Webster,3092,
1950,general,State Senate,13,DEM,Walter A. Holden,Totals,22325,TRUE
1950,general,State Senate,13,DEM,Walter A. Holden,Gilmer,1059,
1950,general,State Senate,13,DEM,Walter A. Holden,Harrison,17904,
1950,general,State Senate,13,DEM,Walter A. Holden,Lewis,3362,
1950,general,State Senate,13,REP,Rupert A. Sinsel,Totals,20647,
1950,general,State Senate,13,REP,Rupert A. Sinsel,Gilmer,2046,
1950,general,State Senate,13,REP,Rupert A. Sinsel,Harrison,13988,
1950,general,State Senate,13,REP,Rupert A. Sinsel,Lewis,4613,
