county,precinct,office,district,candidate,party,votes,
Cabell,PCT 1 - Central City Elem,,,Registered voters,,678,
Cabell,PCT 1A - Central City Elem. ,,,Registered voters,,631,
Cabell,PCT 2 - Central City Elem. ,,,Registered voters,,617,
Cabell,PCT 3 - Dept. of Trans (DMV) ,,,Registered voters,,1063,
Cabell,PCT 4 - Museum of Radio/Tech ,,,Registered voters,,677,
Cabell,PCT 5 - Dept. of Trans (DMV) ,,,Registered voters,,499,
Cabell,PCT 6 - Jr. League Bldg. ,,,Registered voters,,1032,
Cabell,PCT 6W - Woodlands Ret. Comm. ,,,Registered voters,,726,
Cabell,PCT 7A-Owen Illinois Clubhouse ,,,Registered voters,,748,
Cabell,PCT 7B-Owen Illinois Clubhouse ,,,Registered voters,,780,
Cabell,PCT 9 - Huntington City Hall ,,,Registered voters,,1275,
Cabell,PCT 10 - Jr. League Bldg. ,,,Registered voters,,866,
Cabell,PCT 11A - First Pres. Church ,,,Registered voters,,677,
Cabell,PCT 11B - First Pres. Church ,,,Registered voters,,781,
Cabell,PCT 12 - A.D. Lewis Center ,,,Registered voters,,896,
Cabell,PCT 13 - Southside Elem School ,,,Registered voters,,961,
Cabell,PCT 14 - Meadows School ,,,Registered voters,,1159,
Cabell,PCT 16 - Senior Life Center ,,,Registered voters,,887,
Cabell,PCT 17 - Spring Hill School ,,,Registered voters,,668,
Cabell,PCT 18 - Meadows School ,,,Registered voters,,445,
Cabell,PCT 19 - Highlawn Elem. School ,,,Registered voters,,658,
Cabell,PCT 20 - Vet. Mem. Field House ,,,Registered voters,,1062,
Cabell,PCT 21 - Fairfield E Comm Ctr ,,,Registered voters,,698,
Cabell,PCT 22 - Meadows School ,,,Registered voters,,923,
Cabell,PCT 23 - Fairfield E Comm Ctr ,,,Registered voters,,887,
Cabell,PCT 24 - Beverly Hills Bapt Ch ,,,Registered voters,,625,
Cabell,PCT 25 - Beverly Hills Meth Ch ,,,Registered voters,,859,
Cabell,PCT 26 - Highlawn Elem School ,,,Registered voters,,869,
Cabell,PCT 27 - Vet. Mem. Field House ,,,Registered voters,,695,
Cabell,PCT 28 - Peyton Elem School ,,,Registered voters,,945,
Cabell,PCT 29 - Beverly Hills Mid Sch ,,,Registered voters,,624,
Cabell,PCT 30 - Beverly Hills Mid Sch ,,,Registered voters,,694,
