county,precinct,office,district,candidate,party,votes,,,,,,,,,,,,,
Wayne,Wayne01,Attorney General,,Dan Greear,REP,179,,,,,,,,,,,,,
Wayne,Wayne03,Attorney General,,Dan Greear,REP,144,,,,,,,,,,,,,
Wayne,Wayne05,Attorney General,,Dan Greear,REP,178,,,,,,,,,,,,,
Wayne,Wayne06,Attorney General,,Dan Greear,REP,75,,,,,,,,,,,,,
Wayne,Wayne11,Attorney General,,Dan Greear,REP,124,,,,,,,,,,,,,
Wayne,Wayne12,Attorney General,,Dan Greear,REP,152,,,,,,,,,,,,,
Wayne,Wayne13,Attorney General,,Dan Greear,REP,194,,,,,,,,,,,,,
Wayne,Wayne14,Attorney General,,Dan Greear,REP,362,,,,,,,,,,,,,
Wayne,Wayne16,Attorney General,,Dan Greear,REP,136,,,,,,,,,,,,,
Wayne,Wayne17,Attorney General,,Dan Greear,REP,208,,,,,,,,,,,,,
Wayne,Wayne18,Attorney General,,Dan Greear,REP,173,,,,,,,,,,,,,
Wayne,Wayne19,Attorney General,,Dan Greear,REP,286,,,,,,,,,,,,,
Wayne,Wayne20,Attorney General,,Dan Greear,REP,164,,,,,,,,,,,,,
Wayne,Wayne21,Attorney General,,Dan Greear,REP,150,,,,,,,,,,,,,
Wayne,Wayne22,Attorney General,,Dan Greear,REP,173,,,,,,,,,,,,,
Wayne,Wayne30,Attorney General,,Dan Greear,REP,99,,,,,,,,,,,,,
Wayne,Wayne31,Attorney General,,Dan Greear,REP,101,,,,,,,,,,,,,
Wayne,Wayne34,Attorney General,,Dan Greear,REP,98,,,,,,,,,,,,,
Wayne,Wayne36,Attorney General,,Dan Greear,REP,135,,,,,,,,,,,,,
Wayne,Wayne37,Attorney General,,Dan Greear,REP,131,,,,,,,,,,,,,
Wayne,Wayne41,Attorney General,,Dan Greear,REP,65,,,,,,,,,,,,,
Wayne,Wayne42,Attorney General,,Dan Greear,REP,48,,,,,,,,,,,,,
Wayne,Wayne45,Attorney General,,Dan Greear,REP,77,,,,,,,,,,,,,
Wayne,Wayne48,Attorney General,,Dan Greear,REP,246,,,,,,,,,,,,,
Wayne,Wayne49,Attorney General,,Dan Greear,REP,311,,,,,,,,,,,,,
Wayne,Wayne50,Attorney General,,Dan Greear,REP,179,,,,,,,,,,,,,
Wayne,Wayne51,Attorney General,,Dan Greear,REP,173,,,,,,,,,,,,,
Wayne,Wayne52,Attorney General,,Dan Greear,REP,84,,,,,,,,,,,,,
Wayne,Wayne53,Attorney General,,Dan Greear,REP,191,,,,,,,,,,,,,
Wayne,Wayne54,Attorney General,,Dan Greear,REP,134,,,,,,,,,,,,,
Wayne,Wayne56,Attorney General,,Dan Greear,REP,360,,,,,,,,,,,,,
Wayne,Wayne57,Attorney General,,Dan Greear,REP,195,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,Attorney General,,Dan Greear,REP,215,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,Attorney General,,Dan Greear,REP,218,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,Attorney General,,Dan Greear,REP,187,,,,,,,,,,,,,
Wayne,Wayne62,Attorney General,,Dan Greear,REP,338,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,Attorney General,,Dan Greear,REP,146,,,,,,,,,,,,,
Wayne,,Attorney General,,Dan Greear,REP,6429,,,,,,,,,,,,,
Wayne,Wayne01,Attorney General,,Darrell McGraw,DEM,324,,,,,,,,,,,,,
Wayne,Wayne03,Attorney General,,Darrell McGraw,DEM,184,,,,,,,,,,,,,
Wayne,Wayne05,Attorney General,,Darrell McGraw,DEM,252,,,,,,,,,,,,,
Wayne,Wayne06,Attorney General,,Darrell McGraw,DEM,146,,,,,,,,,,,,,
Wayne,Wayne11,Attorney General,,Darrell McGraw,DEM,148,,,,,,,,,,,,,
Wayne,Wayne12,Attorney General,,Darrell McGraw,DEM,165,,,,,,,,,,,,,
Wayne,Wayne13,Attorney General,,Darrell McGraw,DEM,239,,,,,,,,,,,,,
Wayne,Wayne14,Attorney General,,Darrell McGraw,DEM,305,,,,,,,,,,,,,
Wayne,Wayne16,Attorney General,,Darrell McGraw,DEM,137,,,,,,,,,,,,,
Wayne,Wayne17,Attorney General,,Darrell McGraw,DEM,176,,,,,,,,,,,,,
