iteration,ind,old,new,office
0,0,WRITE IN,WRITE INS,PRESIDENT
0,1,JOE MANCHIN,JOE MANCHIN III,GOVERNOR
0,2,JOE HANCHIN III,JOE MANCHIN III,GOVERNOR
0,3,GLEN GAINER,GLEN B GAINER III,STATE AUDITOR
0,4,JOHN PERDUE,JOHN D PERDUE,STATE TREASURER
0,5,GUS DOUGLASS,GUS R DOUGLASS,COMMISSIONER OF AGRICULTURE
0,6,GUS R DOUGLAS,GUS R DOUGLASS,COMMISSIONER OF AGRICULTURE
0,7,BARACK HUSSEIN OBAMA,BARACK OBAMA,PRESIDENT
0,8,JOHN SIDNEY MCCAIN III,JOHN MCCAIN,PRESIDENT
0,9,CYNTHIA ANN MCKINNEY,CYNTHIA MCKINNEY,PRESIDENT
0,10,JESSE C JOHNSON JR,JESSE JOHNSON,GOVERNOR
0,11,JESSEE JOHNSON,JESSE JOHNSON,GOVERNOR
0,12,MATTHEW JAY WOLFE,JAY WOLFE,US SENATE
0,13,JAY WOLF,JAY WOLFE,US SENATE
0,14,DARRELL V MCGRAW JR,DARRELL MCGRAW,ATTORNEY GENERAL
0,15,CHARLES THEOPHILUS MINIMAH,CHARLES MINIMAH,SECRETARY OF STATE
0,16,JAY ROCKEFELLER,JOHN DAVISON ROCKEFELLER IV,US SENATE
0,17,MICHAEL TEETS,JAMES MICHAEL TEETS,COMMISSIONER OF AGRICULTURE
0,18,J MICHAEL TEETS,JAMES MICHAEL TEETS,COMMISSIONER OF AGRICULTURE
0,19,CHARLES BALDWIN,CHARLES OBADIAH BALDWIN,PRESIDENT
0,20,NICK JOE RAHALL,NICK JOE RAHALL II,US HOUSE
0,21,SHELLEY CAPITO,SHELLEY MOORE CAPITO,US HOUSE
0,22,SHELLY MOORE CAPITO,SHELLEY MOORE CAPITO,US HOUSE
0,23,SHELLY MOOORE CAPITO,SHELLEY MOORE CAPITO,US HOUSE
0,24,ELIZABETH ANNE BARTH,ANNE BARTH,US HOUSE
0,25,ANN BARTH,ANNE BARTH,US HOUSE
0,26,JAY ROCKEFELLER,JAY ROCKFELLER,US SENATE
0,27,ALAN MOLLOHAN,ALAN BOWLBY MOLLOHAN,US HOUSE
0,28,ALAN B MOLLOHAN,ALAN BOWLBY MOLLOHAN,US HOUSE
0,29,MARTY GEARHART,MARTY GEARHEART,US HOUSE
0,30,CLARK BARNES,CLARK S BARNES,STATE SENATE
0,31,CLARKE BARNES,CLARK S BARNES,STATE SENATE
0,32,MARK MAYNARD,MARK RUSSELL MAYNARD,STATE SENATE
0,33,MARK R MAYNARD,MARK RUSSELL MAYNARD,STATE SENATE
0,34,DOUGLAS FACEMIRE,DOUGLAS EUGENE FACEMIRE,STATE SENATE
0,35,JEFFREY KESSLER,JEFFREY VINCENT KESSLER,STATE SENATE
0,36,DONALD THOMAS CARUTH,DONALD T CARUTH,STATE SENATE
0,37,LINDA GOODE PHILLIPS,LINDA LEE GOODE PHILLIPS,STATE HOUSE
0,38,DANIEL J HALL,DANIEL JACKSON HALL,STATE HOUSE
0,39,KAREN L FACEMYER,KAREN FACEMYER,STATE SENATE
0,40,ROCKY D HOLMES,ROCKY HOLMES,STATE SENATE
0,41,BRADY PAXTON,BRADY RALPH PAXTON,STATE HOUSE
0,42,JAMES MCCORMICK,JAMES LEROY MCCORMICK II,STATE HOUSE
0,43,JAMES MCCORMICK II,JAMES LEROY MCCORMICK II,STATE HOUSE
0,44,BRIAN SCOTT,BRIAN RAY SCOTT,STATE HOUSE
0,45,PATTI SCHOEN,PATTI EAGLOSKI SCHOEN,STATE HOUSE
0,46,DALE MARTIN,DALE FRANKLIN MARTIN,STATE HOUSE
0,47,STEVEN KOMINAR,KERRY STEVEN KOMINAR,STATE HOUSE
0,48,ELIZABETH ANNE BARTH,ELIZABETH BARTH,US HOUSE
0,49,FRED J BRUNNER,FRED J BRUNER,STATE SENATOR
0,50,RICK BARTLETT,JOHN R RICK BARTLETT,US SENATE
0,51,GERALD LOU CROSIER,GERALD L CROSIER,STATE HOUSE
0,52,MIKE HANYPENNY,MIKE MANYPENNY,MEMBER OF HOUSE OF DELEGATES
0,53,HAROLD K MICHAEL,HAROLD MICHAEL,STATE HOUSE
0,54,ALAN B MOLLOHAN,ALAN B MOLLAHAN,US HOUSE
0,55,ALAN MOLLOHAN,ALAN B MOLLAHAN,US HOUSE
0,56,STEVE OLIVER SMITH,STEVEN OLIVER SMITH,MEMBER OF HOUSE OF DELEGATES
