county,precinct,office,district,candidate,party,votes,
Monongalia,1,STRAIGHT PARTY,,,REP,34,
Monongalia,2,STRAIGHT PARTY,,,REP,44,
Monongalia,4,STRAIGHT PARTY,,,REP,40,
Monongalia,6,STRAIGHT PARTY,,,REP,15,
Monongalia,8,STRAIGHT PARTY,,,REP,52,
Monongalia,10,STRAIGHT PARTY,,,REP,26,
Monongalia,12,STRAIGHT PARTY,,,REP,26,
Monongalia,13,STRAIGHT PARTY,,,REP,20,
Monongalia,14,STRAIGHT PARTY,,,REP,16,
Monongalia,15,STRAIGHT PARTY,,,REP,17,
Monongalia,16,STRAIGHT PARTY,,,REP,29,
Monongalia,20,STRAIGHT PARTY,,,REP,9,
Monongalia,21,STRAIGHT PARTY,,,REP,83,
Monongalia,23,STRAIGHT PARTY,,,REP,68,
Monongalia,25,STRAIGHT PARTY,,,REP,53,
Monongalia,26,STRAIGHT PARTY,,,REP,42,
Monongalia,27,STRAIGHT PARTY,,,REP,20,
Monongalia,30,STRAIGHT PARTY,,,REP,56,
Monongalia,32,STRAIGHT PARTY,,,REP,82,
Monongalia,33,STRAIGHT PARTY,,,REP,33,
Monongalia,34,STRAIGHT PARTY,,,REP,57,
Monongalia,35,STRAIGHT PARTY,,,REP,22,
Monongalia,36,STRAIGHT PARTY,,,REP,63,
Monongalia,38A,STRAIGHT PARTY,,,REP,54,
Monongalia,38B,STRAIGHT PARTY,,,REP,42,
Monongalia,40,STRAIGHT PARTY,,,REP,15,
Monongalia,41,STRAIGHT PARTY,,,REP,3,
Monongalia,42,STRAIGHT PARTY,,,REP,25,
Monongalia,44,STRAIGHT PARTY,,,REP,30,
Monongalia,46,STRAIGHT PARTY,,,REP,15,
Monongalia,47,STRAIGHT PARTY,,,REP,27,
Monongalia,48,STRAIGHT PARTY,,,REP,12,
Monongalia,49,STRAIGHT PARTY,,,REP,4,
Monongalia,51,STRAIGHT PARTY,,,REP,15,
Monongalia,52,STRAIGHT PARTY,,,REP,21,
Monongalia,53,STRAIGHT PARTY,,,REP,21,
Monongalia,54,STRAIGHT PARTY,,,REP,20,
Monongalia,55,STRAIGHT PARTY,,,REP,26,
Monongalia,56,STRAIGHT PARTY,,,REP,6,
Monongalia,58,STRAIGHT PARTY,,,REP,17,
Monongalia,59,STRAIGHT PARTY,,,REP,53,
Monongalia,60,STRAIGHT PARTY,,,REP,53,
Monongalia,61,STRAIGHT PARTY,,,REP,76,
Monongalia,62,STRAIGHT PARTY,,,REP,90,
Monongalia,63,STRAIGHT PARTY,,,REP,66,
Monongalia,64,STRAIGHT PARTY,,,REP,23,
Monongalia,67,STRAIGHT PARTY,,,REP,49,
Monongalia,68,STRAIGHT PARTY,,,REP,32,
Monongalia,69,STRAIGHT PARTY,,,REP,24,
Monongalia,71,STRAIGHT PARTY,,,REP,50,
Monongalia,72,STRAIGHT PARTY,,,REP,31,
Monongalia,74,STRAIGHT PARTY,,,REP,13,
Monongalia,75,STRAIGHT PARTY,,,REP,32,
Monongalia,76,STRAIGHT PARTY,,,REP,13,
Monongalia,77A,STRAIGHT PARTY,,,REP,60,
Monongalia,77B,STRAIGHT PARTY,,,REP,65,
Monongalia,78A,STRAIGHT PARTY,,,REP,55,
Monongalia,78B,STRAIGHT PARTY,,,REP,46,
Monongalia,79A,STRAIGHT PARTY,,,REP,48,
Monongalia,79B,STRAIGHT PARTY,,,REP,74,
