office,district,candidate,party
PRESIDENT,,WALTER MONDALE,DEM
PRESIDENT,,RONALD REAGAN,REP
PRESIDENT,,MELVIN MASON,SOC
PRESIDENT,,DENNIS SERRETTE,NEW
PRESIDENT,,BOB RICHARDSPOP,
US SENATE,,JAY ROCKEFELLER,DEM
US SENATE,,JOHN RAESE,REP
US SENATE,,MARY RADIN,SOC
US HOUSE,,BOB WISE,DEM
US HOUSE,,MARGARET MILLER,REP
