office,district,candidate,party
PRESIDENT,,RONALD REAGAN,REP
PRESIDENT,,JOHN ANDEROSN,IND
PRESIDENT,,EDWARD CLARK,LIB
PRESIDENT,,JIMMY CARTER,DEM
