iteration,ind,old,new,office
0,0,JOSEPH MANCHIN,JOSEPH MANCHIN III,US SENATE
0,1,ALEX MOONEY,ALEX X MOONEY,US HOUSE
0,2,DANNY LUTZ,DANIEL P DANNY LUTZ JR,US HOUSE
0,3,ERIC PORTERFIELD,ERIC FORTERFIELD,HOUSE OF DELEGATES
0,4,LURA M FINCH,LAURA M FINCH,STATE SENATE
0,5,AGAINST THE AMENDMENT,FOR THE AMENDMENT,AMENDMENT NO 1 NO CONSTITUTIONAL RIGHT TO ABORTION AMENDMENT
0,6,RICKY MOYE,RICKY MOYS,HOUSE OF DELEGATES
0,7,JAMES A ARMENTROUT,JASON A ARMENTROUT,STATE SENATE
0,8,TERRY WAZMAN,TERRY WAXMAN,HOUSE OF DELEGATES
0,9,GEORGE BOGIE AMBLER,GEORGE BOOGIE AMBLER,STATE SENATE
0,10,DR BUCK JENNINGS,D R BUCK JENNINGS,HOUSE OF DELEGATES
0,11,RITH ROWAN,RUTH ROWAN,HOUSE OF DELEGATES
0,12,SAMMI BROWN,SAM BROWN,HOUSE OF DELEGATES
