candidate,office,district,party,county,precinct,total votes
,Registered Voters,,,Tucker,Precinct 1,239
,Ballots Cast,,,Tucker,Precinct 1,144
Patrick Morrisey,US Senate,,,Tucker,Precinct 1,79
Joseph Manchin III,US Senate,,,Tucker,Precinct 1,50
Rusty Hollen,US Senate,,,Tucker,Precinct 1,8
Write In,US Senate,,,Tucker,Precinct 1,3
David B McKinley,US House,1,,Tucker,Precinct 1,105
Kendra Fershee,US House,1,,Tucker,Precinct 1,34
Write In,US House,1,,Tucker,Precinct 1,0
Dave Sypolt,State Senate,14,,Tucker,Precinct 1,93
Stephanie Zucker,State Senate,14,,Tucker,Precinct 1,45
Write In,State Senate,14,,Tucker,Precinct 1,0
"D R ""Buck"" Jennings",House of Delegates,53,,Tucker,Precinct 1,64
Cory Chase,House of Delegates,53,,Tucker,Precinct 1,71
Austin Zuchowski,House of Delegates,53,,Tucker,Precinct 1,1
Write In,House of Delegates,53,,Tucker,Precinct 1,0
,Registered Voters,,,Tucker,Precinct 2,789
,Ballots Cast,,,Tucker,Precinct 2,444
Patrick Morrisey,US Senate,,,Tucker,Precinct 2,228
Joseph Manchin III,US Senate,,,Tucker,Precinct 2,179
Rusty Hollen,US Senate,,,Tucker,Precinct 2,26
Write In,US Senate,,,Tucker,Precinct 2,0
David B McKinley,US House,1,,Tucker,Precinct 2,302
Kendra Fershee,US House,1,,Tucker,Precinct 2,120
Write In,US House,1,,Tucker,Precinct 2,0
Dave Sypolt,State Senate,14,,Tucker,Precinct 2,273
Stephanie Zucker,State Senate,14,,Tucker,Precinct 2,146
Write In,State Senate,14,,Tucker,Precinct 2,0
"D R ""Buck"" Jennings",House of Delegates,53,,Tucker,Precinct 2,188
Cory Chase,House of Delegates,53,,Tucker,Precinct 2,217
Austin Zuchowski,House of Delegates,53,,Tucker,Precinct 2,9
Write In,House of Delegates,53,,Tucker,Precinct 2,2
,Registered Voters,,,Tucker,Precinct 3,583
,Ballots Cast,,,Tucker,Precinct 3,306
Patrick Morrisey,US Senate,,,Tucker,Precinct 3,152
Joseph Manchin III,US Senate,,,Tucker,Precinct 3,124
Rusty Hollen,US Senate,,,Tucker,Precinct 3,16
