year,election,office,party,district,candidate,county,votes,winner
2000,general,House of Delegates,D,1,Joe DeLong,Totals,7772,TRUE
2000,general,House of Delegates,D,1,Joe DeLong,Brooke,548,
2000,general,House of Delegates,D,1,Joe DeLong,Hancock,7224,
2000,general,House of Delegates,D,1,Randy Swartzmiller,Totals,7194,TRUE
2000,general,House of Delegates,D,1,Randy Swartzmiller,Brooke,433,
2000,general,House of Delegates,D,1,Randy Swartzmiller,Hancock,6761,
2000,general,House of Delegates,R,1,Peggy Miller Bahnsen,Totals,6539,
2000,general,House of Delegates,R,1,Peggy Miller Bahnsen,Brooke,358,
2000,general,House of Delegates,R,1,Peggy Miller Bahnsen,Hancock,6181,
2000,general,House of Delegates,D,2,Tim Ennis,Totals,8202,TRUE
2000,general,House of Delegates,D,2,Tim Ennis,Brooke,6276,
2000,general,House of Delegates,D,2,Tim Ennis,Ohio,1926,
2000,general,House of Delegates,D,2,Roy Givens,Totals,8193,TRUE
2000,general,House of Delegates,D,2,Roy Givens,Brooke,6247,
2000,general,House of Delegates,D,2,Roy Givens,Ohio,1946,
2000,general,House of Delegates,R,2,Roger L. Trabert,Totals,4235,
2000,general,House of Delegates,R,2,Roger L. Trabert,Brooke,1852,
2000,general,House of Delegates,R,2,Roger L. Trabert,Ohio,2393,
2000,general,House of Delegates,D,3,"Richard ""Rick"" Altman",Totals,5230,
2000,general,House of Delegates,D,3,"Richard ""Rick"" Altman",Ohio,5230,
2000,general,House of Delegates,D,3,"John ""Jack"" Fahey",Totals,8042,TRUE
2000,general,House of Delegates,D,3,"John ""Jack"" Fahey",Ohio,8042,
2000,general,House of Delegates,R,3,L. Gil White,Totals,6743,TRUE
2000,general,House of Delegates,R,3,L. Gil White,Ohio,6743,
2000,general,House of Delegates,Libertarian,3,Stephen Dajchak,Totals,929,
2000,general,House of Delegates,Libertarian,3,Stephen Dajchak,Ohio,929,
2000,general,House of Delegates,D,4,Kenneth D. Tucker,Totals,6372,TRUE
2000,general,House of Delegates,D,4,Kenneth D. Tucker,Marshall,6307,
2000,general,House of Delegates,D,4,Kenneth D. Tucker,Ohio,65,
2000,general,House of Delegates,D,4,Scott G. Varner,Totals,8673,TRUE
2000,general,House of Delegates,D,4,Scott G. Varner,Marshall,8595,
2000,general,House of Delegates,D,4,Scott G. Varner,Ohio,77,
2000,general,House of Delegates,R,4,Donald A. Haskins,Totals,6009,
2000,general,House of Delegates,R,4,Donald A. Haskins,Marshall,5986,
2000,general,House of Delegates,R,4,Donald A. Haskins,Ohio,23,
2000,general,House of Delegates,R,4,Joseph D. Parriott,Totals,3206,
2000,general,House of Delegates,R,4,Joseph D. Parriott,Marshall,3192,
2000,general,House of Delegates,R,4,Joseph D. Parriott,Ohio,14,
2000,general,House of Delegates,D,5,Dave Pethtel,Totals,3658,TRUE
2000,general,House of Delegates,D,5,Dave Pethtel,Wetzel,3658,
2000,general,House of Delegates,R,5,"Charles Clements, Jr.",Totals,2309,
2000,general,House of Delegates,R,5,"Charles Clements, Jr.",Wetzel,2309,
2000,general,House of Delegates,R,6,Wm. Roger Romine,Totals,5545,TRUE
2000,general,House of Delegates,R,6,Wm. Roger Romine,Doddridge,2192,
2000,general,House of Delegates,R,6,Wm. Roger Romine,Tyler,3127,
2000,general,House of Delegates,R,6,Wm. Roger Romine,Wetzel,226,
2000,general,House of Delegates,R,7,Otis A. Leggett,Totals,5809,TRUE
2000,general,House of Delegates,R,7,Otis A. Leggett,Gilmer,225,
2000,general,House of Delegates,R,7,Otis A. Leggett,Pleasants,2399,
2000,general,House of Delegates,R,7,Otis A. Leggett,Ritchie,3185,
2000,general,House of Delegates,D,8,Pat Criss,Totals,2445,
2000,general,House of Delegates,D,8,Pat Criss,Wood,2445,
2000,general,House of Delegates,R,8,"E. W. ""Bill"" Anderson, Jr.",Totals,4919,TRUE
2000,general,House of Delegates,R,8,"E. W. ""Bill"" Anderson, Jr.",Wood,4919,
2000,general,House of Delegates,D,9,Kent A. Brown,Totals,3045,
2000,general,House of Delegates,D,9,Kent A. Brown,Wirt,990,
2000,general,House of Delegates,D,9,Kent A. Brown,Wood,2055,
2000,general,House of Delegates,R,9,Larry Border,Totals,4108,TRUE
2000,general,House of Delegates,R,9,Larry Border,Wirt,1190,
2000,general,House of Delegates,R,9,Larry Border,Wood,2918,
2000,general,House of Delegates,D,10,J. D. Beane,Totals,11084,TRUE
2000,general,House of Delegates,D,10,J. D. Beane,Wood,11084,
2000,general,House of Delegates,D,10,Larry Godfrey,Totals,7555,
2000,general,House of Delegates,D,10,Larry Godfrey,Wood,7555,
2000,general,House of Delegates,D,10,Guy Lowther,Totals,5161,
2000,general,House of Delegates,D,10,Guy Lowther,Wood,5161,
2000,general,House of Delegates,R,10,Tom Azinger,Totals,9937,TRUE
2000,general,House of Delegates,R,10,Tom Azinger,Wood,9937,
2000,general,House of Delegates,R,10,Fred Gillespie,Totals,9697,
2000,general,House of Delegates,R,10,Fred Gillespie,Wood,9697,
2000,general,House of Delegates,R,10,Rick Modesitt,Totals,11594,TRUE
2000,general,House of Delegates,R,10,Rick Modesitt,Wood,11594,
2000,general,House of Delegates,D,11,Oscar Hines,Totals,2924,
2000,general,House of Delegates,D,11,Oscar Hines,Jackson,480,
2000,general,House of Delegates,D,11,Oscar Hines,Roane,2444,
2000,general,House of Delegates,R,11,Bob Ashley,Totals,3876,TRUE
2000,general,House of Delegates,R,11,Bob Ashley,Jackson,748,
2000,general,House of Delegates,R,11,Bob Ashley,Roane,3128,
