year,election,office,party,district,candidate,county,votes,winner
2000,general,Attorney General,D,,Darrell McGraw,Totals,465047,TRUE
2000,general,Attorney General,D,,Darrell McGraw,Barbour,4308,
2000,general,Attorney General,D,,Darrell McGraw,Berkeley,15864,
2000,general,Attorney General,D,,Darrell McGraw,Boone,7520,
2000,general,Attorney General,D,,Darrell McGraw,Braxton,3698,
2000,general,Attorney General,D,,Darrell McGraw,Brooke,7604,
2000,general,Attorney General,D,,Darrell McGraw,Cabell,21345,
2000,general,Attorney General,D,,Darrell McGraw,Calhoun,1968,
2000,general,Attorney General,D,,Darrell McGraw,Clay,2836,
2000,general,Attorney General,D,,Darrell McGraw,Doddridge,1913,
2000,general,Attorney General,D,,Darrell McGraw,Fayette,11879,
2000,general,Attorney General,D,,Darrell McGraw,Gilmer,2092,
2000,general,Attorney General,D,,Darrell McGraw,Grant,1965,
2000,general,Attorney General,D,,Darrell McGraw,Greenbrier,9602,
2000,general,Attorney General,D,,Darrell McGraw,Hampshire,4107,
2000,general,Attorney General,D,,Darrell McGraw,Hancock,8488,
2000,general,Attorney General,D,,Darrell McGraw,Hardy,2816,
2000,general,Attorney General,D,,Darrell McGraw,Harrison,20863,
2000,general,Attorney General,D,,Darrell McGraw,Jackson,8552,
2000,general,Attorney General,D,,Darrell McGraw,Jefferson,10072,
2000,general,Attorney General,D,,Darrell McGraw,Kanawha,51218,
2000,general,Attorney General,D,,Darrell McGraw,Lewis,4840,
2000,general,Attorney General,D,,Darrell McGraw,Lincoln,5679,
2000,general,Attorney General,D,,Darrell McGraw,Logan,10074,
2000,general,Attorney General,D,,Darrell McGraw,Marion,17221,
2000,general,Attorney General,D,,Darrell McGraw,Marshall,10178,
2000,general,Attorney General,D,,Darrell McGraw,Mason,8931,
2000,general,Attorney General,D,,Darrell McGraw,McDowell,6000,
2000,general,Attorney General,D,,Darrell McGraw,Mercer,14009,
2000,general,Attorney General,D,,Darrell McGraw,Mineral,7125,
2000,general,Attorney General,D,,Darrell McGraw,Mingo,7673,
2000,general,Attorney General,D,,Darrell McGraw,Monongalia,19934,
2000,general,Attorney General,D,,Darrell McGraw,Monroe,3810,
2000,general,Attorney General,D,,Darrell McGraw,Morgan,2643,
2000,general,Attorney General,D,,Darrell McGraw,Nicholas,6633,
2000,general,Attorney General,D,,Darrell McGraw,Ohio,13202,
2000,general,Attorney General,D,,Darrell McGraw,Pendleton,2000,
2000,general,Attorney General,D,,Darrell McGraw,Pleasants,2402,
2000,general,Attorney General,D,,Darrell McGraw,Pocahontas,2644,
2000,general,Attorney General,D,,Darrell McGraw,Preston,7605,
2000,general,Attorney General,D,,Darrell McGraw,Putnam,14135,
2000,general,Attorney General,D,,Darrell McGraw,Raleigh,17643,
2000,general,Attorney General,D,,Darrell McGraw,Randolph,7125,
2000,general,Attorney General,D,,Darrell McGraw,Ritchie,2651,
2000,general,Attorney General,D,,Darrell McGraw,Roane,4112,
2000,general,Attorney General,D,,Darrell McGraw,Summers,3596,
2000,general,Attorney General,D,,Darrell McGraw,Taylor,4449,
2000,general,Attorney General,D,,Darrell McGraw,Tucker,2512,
2000,general,Attorney General,D,,Darrell McGraw,Tyler,2882,
2000,general,Attorney General,D,,Darrell McGraw,Upshur,6116,
2000,general,Attorney General,D,,Darrell McGraw,Wayne,9235,
2000,general,Attorney General,D,,Darrell McGraw,Webster,2715,
2000,general,Attorney General,D,,Darrell McGraw,Wetzel,4916,
2000,general,Attorney General,D,,Darrell McGraw,Wirt,1680,
2000,general,Attorney General,D,,Darrell McGraw,Wood,24262,
2000,general,Attorney General,D,,Darrell McGraw,Wyoming,5705,
