office,district,candidate,party
SECRETARY OF STATE,,JOE MANCHIN III,D
SECRETARY OF STATE,,POOCHIE MYERS,Libertarian
AUDITOR,,GLEN B GAINER III,D
US HOUSE,1.0,ALAN B MOLLOHAN,D
US HOUSE,1.0,RICHARD KERR,Libertarian
US HOUSE,2.0,JIM HUMPHREYS,D
US HOUSE,2.0,SHELLEY MOORE CAPITO,R
US HOUSE,2.0,JOHN BROWN,Libertarian
US HOUSE,3.0,NICK JOE RAHALL II,D
US HOUSE,3.0,JEFF ROBINSON,Libertarian
US SENATE,,ROBERT C BYRD,D
US SENATE,,DAVID T GALLAHER,R
US SENATE,,JOHN WHELAN,Libertarian
STATE TREASURER,,JOHN D PERDUE,D
GOVERNOR,,BOB WISE,D
GOVERNOR,,CECIL H UNDERWOOD,R
GOVERNOR,,BOB MYERS,Libertarian
GOVERNOR,,RANDALL B ASHELMAN,Natural Law
GOVERNOR,,DENISE GIARDINA,Mountain
GOVERNOR,,LOU DAVIS,Write-In
COMMISSIONER OF AGRICULTURE,,GUS R DOUGLASS,D
STATE SENATE,1.0,WALTER BISH,D
STATE SENATE,1.0,ANDY MCKENZIE,R
STATE SENATE,2.0,JEFFREY V KESSLER,D
STATE SENATE,2.0,LARRY TIGHE,R
STATE SENATE,3.0,LOUIS F FLADE,D
STATE SENATE,3.0,DONNA J BOLEY,R
STATE SENATE,4.0,ROBERT L BOB DITTMAR,D
STATE SENATE,4.0,KAREN FACEMYER,R
STATE SENATE,5.0,ROBERT H BOB PLYMALE,D
STATE SENATE,6.0,JOHN PAT FANNING,D
STATE SENATE,7.0,EARL RAY TOMBLIN,D
STATE SENATE,8.0,MARK HUNT,D
STATE SENATE,8.0,VIC SPROUSE,R
STATE SENATE,9.0,BILLY WAYNE BAILEY JR,D
STATE SENATE,10.0,ANITA SKEENS CALDWELL,D
STATE SENATE,11.0,MR SHIRLEY LOVE,D
STATE SENATE,12.0,BILL SHARPE,D
STATE SENATE,13.0,ROMAN W PREZIOSO JR,D
STATE SENATE,14.0,JON BLAIR HUNTER,D
STATE SENATE,14.0,ROBERT D HARMAN,R
STATE SENATE,14.0,JOHN R RICK BARTLETT,Libertarian
STATE SENATE,15.0,MIKE ROSS,D
STATE SENATE,16.0,HERB SNYDER,D
STATE SENATE,16.0,GREG CORLISS,R
STATE SENATE,17.0,LARRY ROWE,D
STATE SENATE,17.0,CHARLES BUDDY LEWIS,R
STATE SENATE,11.0,MARK BURNETTE,D
STATE SENATE,11.0,HIRAM LEWIS,R
ATTORNEY GENERAL,,DARRELL MCGRAW,D
US PRESIDENT,,AL GORE,D
US PRESIDENT,,GEORGE W BUSH,R
US PRESIDENT,,HARRY BROWNE,Libertarian
US PRESIDENT,,JOHN HAGELIN,Natural Law
US PRESIDENT,,PAT BUCHANAN,Reform
US PRESIDENT,,RALPH NADER,Green
US PRESIDENT,,EARNEST L EASTON,Write-In
US PRESIDENT,,HOWARD PHILLIPS,Write-In
US PRESIDENT,,GLORIA D STRICKLAND,Write-In
HOUSE OF DELEGATES,1.0,JOE DELONG,D
HOUSE OF DELEGATES,1.0,RANDY SWARTZMILLER,D
HOUSE OF DELEGATES,1.0,PEGGY MILLER BAHNSEN,R
HOUSE OF DELEGATES,2.0,TIM ENNIS,D
HOUSE OF DELEGATES,2.0,ROY GIVENS,D
HOUSE OF DELEGATES,2.0,ROGER L TRABERT,R
HOUSE OF DELEGATES,3.0,RICHARD RICK ALTMAN,D
HOUSE OF DELEGATES,3.0,JOHN JACK FAHEY,D
HOUSE OF DELEGATES,3.0,L GIL WHITE,R
HOUSE OF DELEGATES,3.0,STEPHEN DAJCHAK,Libertarian
HOUSE OF DELEGATES,4.0,KENNETH D TUCKER,D
HOUSE OF DELEGATES,4.0,SCOTT G VARNER,D
HOUSE OF DELEGATES,4.0,DONALD A HASKINS,R
HOUSE OF DELEGATES,4.0,JOSEPH D PARRIOTT,R
HOUSE OF DELEGATES,5.0,DAVE PETHTEL,D
HOUSE OF DELEGATES,5.0,CHARLES CLEMENTS JR,R
HOUSE OF DELEGATES,6.0,WM ROGER ROMINE,R
HOUSE OF DELEGATES,7.0,OTIS A LEGGETT,R
HOUSE OF DELEGATES,8.0,PAT CRISS,D
HOUSE OF DELEGATES,8.0,E W BILL ANDERSON JR,R
HOUSE OF DELEGATES,9.0,KENT A BROWN,D
HOUSE OF DELEGATES,9.0,LARRY BORDER,R
HOUSE OF DELEGATES,10.0,J D BEANE,D
HOUSE OF DELEGATES,10.0,LARRY GODFREY,D
HOUSE OF DELEGATES,10.0,GUY LOWTHER,D
HOUSE OF DELEGATES,10.0,TOM AZINGER,R
HOUSE OF DELEGATES,10.0,FRED GILLESPIE,R
HOUSE OF DELEGATES,10.0,RICK MODESITT,R
HOUSE OF DELEGATES,11.0,OSCAR HINES,D
HOUSE OF DELEGATES,11.0,BOB ASHLEY,R
HOUSE OF DELEGATES,12.0,MIKE DUNLAP,D
HOUSE OF DELEGATES,12.0,MITCH B CARMICHAEL,R
HOUSE OF DELEGATES,13.0,DALE MARTIN,D
HOUSE OF DELEGATES,13.0,BRADY R PAXTON,D
HOUSE OF DELEGATES,13.0,CHARLIE BONNETT,R
HOUSE OF DELEGATES,13.0,JACK R MCLANE,R
HOUSE OF DELEGATES,14.0,TED BOGGESS,D
HOUSE OF DELEGATES,14.0,JEANIE PARENTI,D
HOUSE OF DELEGATES,14.0,MIKE HALL,R
HOUSE OF DELEGATES,14.0,LISA D SMITH,R
HOUSE OF DELEGATES,15.0,KEVIN J CRAIG,D
HOUSE OF DELEGATES,15.0,ARLEY R JOHNSON,D
HOUSE OF DELEGATES,15.0,MARGARETTE R LEACH,D
HOUSE OF DELEGATES,15.0,C E CHUCK ROMINE,R
HOUSE OF DELEGATES,15.0,KELLI SOBONYA,R
HOUSE OF DELEGATES,15.0,ADAM BARRACLOUGH,Libertarian
HOUSE OF DELEGATES,15.0,TERRY ROWSEY,Write-In
HOUSE OF DELEGATES,16.0,SUSAN HUBBARD,D
HOUSE OF DELEGATES,16.0,JOE HUTCHINSON,D
HOUSE OF DELEGATES,16.0,DALE STEPHENS,D
HOUSE OF DELEGATES,16.0,JODY G SMIRL,R
HOUSE OF DELEGATES,16.0,BILL WINTERS,R
HOUSE OF DELEGATES,17.0,RICHARD THOMPSON,D
HOUSE OF DELEGATES,18.0,DON C PERDUE,D
HOUSE OF DELEGATES,19.0,K STEVEN KOMINAR,D
HOUSE OF DELEGATES,19.0,HARRY KEITH WHITE,D
HOUSE OF DELEGATES,20.0,GREG BUTCHER,D
HOUSE OF DELEGATES,20.0,TRACY DEMPSEY,D
HOUSE OF DELEGATES,20.0,JOE C FERRELL,D
HOUSE OF DELEGATES,20.0,LIDELLA W HRUTKAY,D
HOUSE OF DELEGATES,20.0,RUSSELL HOOVER JR,R
HOUSE OF DELEGATES,21.0,EARNIE KUHN,D
HOUSE OF DELEGATES,22.0,LACY WRIGHT JR,D
HOUSE OF DELEGATES,22.0,EMILY W YEAGER,D
HOUSE OF DELEGATES,23.0,RICHARD BROWNING,D
HOUSE OF DELEGATES,23.0,W RICHARD STATON,D
HOUSE OF DELEGATES,24.0,EUSTACE FREDERICK,D
HOUSE OF DELEGATES,24.0,DICK MITCHEM,R
HOUSE OF DELEGATES,25.0,RICHARD D FLANIGAN,D
HOUSE OF DELEGATES,25.0,MARK WILLS,D
HOUSE OF DELEGATES,25.0,PAUL M CANTERBURY,R
HOUSE OF DELEGATES,26.0,MARY PEARL COMPTON,D
HOUSE OF DELEGATES,26.0,RICHARD W DULEE,Libertarian
HOUSE OF DELEGATES,27.0,ROBERT S KISS,D
HOUSE OF DELEGATES,27.0,VIRGINIA MAHAN,D
HOUSE OF DELEGATES,27.0,WARREN R MCGRAW II,D
HOUSE OF DELEGATES,27.0,SALLY SUSMAN,D
HOUSE OF DELEGATES,27.0,RON THOMPSON,D
HOUSE OF DELEGATES,27.0,PHILIP L STEVENS,R
HOUSE OF DELEGATES,27.0,JOY JOHNSON,Libertarian
HOUSE OF DELEGATES,28.0,THOMAS W CAMPBELL,D
HOUSE OF DELEGATES,28.0,STEVE HUNTER,D
HOUSE OF DELEGATES,28.0,RAY CANTERBURY,R
HOUSE OF DELEGATES,29.0,TOM LOUISOS,D
HOUSE OF DELEGATES,29.0,DAVID G PERRY,D
HOUSE OF DELEGATES,29.0,JOHN PINO,D
HOUSE OF DELEGATES,29.0,TOM FAST,R
HOUSE OF DELEGATES,30.0,JON AMORES,D
HOUSE OF DELEGATES,30.0,BONNIE BROWN,D
