office,district,candidate,party
HOUSE OF DELEGATES,17.0,LESLIE RAMEY,R
HOUSE OF DELEGATES,17.0,MATT STROUD,R
HOUSE OF DELEGATES,18.0,LARRY W BARKER,D
HOUSE OF DELEGATES,18.0,WARREN K MILLER,R
HOUSE OF DELEGATES,19.0,GREG BUTCHER,D
HOUSE OF DELEGATES,19.0,JEFF ELDRIDGE,D
HOUSE OF DELEGATES,19.0,JOE C FERRELL,D
HOUSE OF DELEGATES,19.0,LIDELLA W HRUTKAY,D
HOUSE OF DELEGATES,19.0,JEFF COOK,R
HOUSE OF DELEGATES,19.0,DAVE LITZ,R
HOUSE OF DELEGATES,19.0,JIM MULLINS,R
HOUSE OF DELEGATES,19.0,WILLIAM E WILLIAMS,R
HOUSE OF DELEGATES,20.0,K STEVEN KOMINAR,D
HOUSE OF DELEGATES,20.0,DIANE SHAFER,R
HOUSE OF DELEGATES,21.0,HARRY KEITH WHITE,D
HOUSE OF DELEGATES,21.0,JAMES SAUNDERS,R
HOUSE OF DELEGATES,22.0,RICHARD BROWNING,D
HOUSE OF DELEGATES,22.0,W RICHARD STATON,D
HOUSE OF DELEGATES,22.0,BRANDON BLAYLOCK,R
HOUSE OF DELEGATES,22.0,SHAWN R SPEARS,R
HOUSE OF DELEGATES,23.0,CLIF MOORE,D
HOUSE OF DELEGATES,23.0,MIKE LUSHBAUGH,R
HOUSE OF DELEGATES,24.0,EUSTACE FREDERICK,D
HOUSE OF DELEGATES,24.0,DOUGLAS C QUESINBERRY,R
HOUSE OF DELEGATES,25.0,MARSHALL C LONG,D
HOUSE OF DELEGATES,25.0,MICHAEL MAGANN,D
HOUSE OF DELEGATES,25.0,JONATHAN HALL,R
HOUSE OF DELEGATES,25.0,THOMAS MIKE PORTER,R
HOUSE OF DELEGATES,26.0,GERALD L CROSIER,D
HOUSE OF DELEGATES,26.0,DUANE MILLER,R
HOUSE OF DELEGATES,27.0,ROBERT S KISS,D
HOUSE OF DELEGATES,27.0,VIRGINIA MAHAN,D
HOUSE OF DELEGATES,27.0,SALLY SUSMAN,D
HOUSE OF DELEGATES,27.0,RON THOMPSON,D
HOUSE OF DELEGATES,27.0,JOHN D WOOTON,D
HOUSE OF DELEGATES,27.0,CHUCK CARPENTER,R
HOUSE OF DELEGATES,27.0,RON HEDRICK,R
HOUSE OF DELEGATES,27.0,ROBERT PULLIAM,R
HOUSE OF DELEGATES,27.0,PHILIP L STEVENS,R
HOUSE OF DELEGATES,27.0,LINDA SUMNER,R
HOUSE OF DELEGATES,28.0,THOMAS W CAMPBELL,D
HOUSE OF DELEGATES,28.0,TOMMY D SCARLES,D
HOUSE OF DELEGATES,28.0,RAY CANTERBURY,R
HOUSE OF DELEGATES,28.0,CHARLIE FRIEDMAN,R
HOUSE OF DELEGATES,29.0,TOM LOUISOS,D
HOUSE OF DELEGATES,29.0,DAVID G PERRY,D
HOUSE OF DELEGATES,29.0,JOHN PINO,D
HOUSE OF DELEGATES,29.0,BETTY LILLY,R
HOUSE OF DELEGATES,29.0,WANDALEEN K SCHALLEN,R
HOUSE OF DELEGATES,29.0,RICHARD P TAYLOR,R
HOUSE OF DELEGATES,30.0,JON AMORES,D
HOUSE OF DELEGATES,30.0,BONNIE BROWN,D
HOUSE OF DELEGATES,30.0,BOBBIE HATFIELD,D
HOUSE OF DELEGATES,30.0,MARK HUNT,D
HOUSE OF DELEGATES,30.0,COREY PALUMBO,D
HOUSE OF DELEGATES,30.0,SHARON SPENCER,D
HOUSE OF DELEGATES,30.0,DANNY WELLS,D
HOUSE OF DELEGATES,30.0,ANN CALVERT,R
HOUSE OF DELEGATES,30.0,TODD CARDEN,R
HOUSE OF DELEGATES,30.0,REBECCA A MATHEWS,R
HOUSE OF DELEGATES,30.0,AUSTIN C MOORE,R
HOUSE OF DELEGATES,30.0,PHIL RAINES,R
HOUSE OF DELEGATES,30.0,BRADFORD L SIMS,R
HOUSE OF DELEGATES,30.0,JERRY SUMMERS,R
HOUSE OF DELEGATES,31.0,CARRIE WEBSTER,D
HOUSE OF DELEGATES,31.0,CHARLES MINIMAH,R
HOUSE OF DELEGATES,32.0,JON W CAIN SR,D
HOUSE OF DELEGATES,32.0,BOB MORRISON,D
HOUSE OF DELEGATES,32.0,CURTIS ROBINSON,D
HOUSE OF DELEGATES,32.0,TIM ARMSTEAD,R
HOUSE OF DELEGATES,32.0,PATRICK LANE,R
HOUSE OF DELEGATES,32.0,RON WALTERS,R
HOUSE OF DELEGATES,33.0,WILLIAM F BILL STEMPLE,D
HOUSE OF DELEGATES,33.0,CHARLES W MCKOWN,R
HOUSE OF DELEGATES,34.0,BRENT BOGGS,D
HOUSE OF DELEGATES,34.0,BRADLEY N SHINGLER,R
HOUSE OF DELEGATES,35.0,SAM ARGENTO,D
HOUSE OF DELEGATES,35.0,BILL SALOMON,R
HOUSE OF DELEGATES,36.0,JOE TALBOTT,D
HOUSE OF DELEGATES,36.0,JIM THOMPSON,R
HOUSE OF DELEGATES,37.0,BILL HARTMAN,D
HOUSE OF DELEGATES,37.0,BILL PROUDFOOT,D
HOUSE OF DELEGATES,37.0,MULVIE WILLIAM GRIMES,R
HOUSE OF DELEGATES,37.0,BRUCE HADDIX,R
HOUSE OF DELEGATES,38.0,DOUG STALNAKER,D
HOUSE OF DELEGATES,38.0,DERRICK W LOVE,R
HOUSE OF DELEGATES,38.0,MIKE JD DEBARR,Write-In
HOUSE OF DELEGATES,39.0,TERESA D KHAN,D
HOUSE OF DELEGATES,39.0,BILL HAMILTON,R
HOUSE OF DELEGATES,40.0,MARY M POLING,D
HOUSE OF DELEGATES,40.0,WILLIAM ROBERT WRIGHT,R
HOUSE OF DELEGATES,41.0,SAMUEL J CANN,D
HOUSE OF DELEGATES,41.0,RON FRAGALE,D
HOUSE OF DELEGATES,41.0,RICHARD J IAQUINTA,D
HOUSE OF DELEGATES,41.0,TIM MILEY,D
HOUSE OF DELEGATES,41.0,WILLIAM H GRIFFITH,R
HOUSE OF DELEGATES,41.0,LAMONT MUTT PROCTOR,R
HOUSE OF DELEGATES,41.0,JAMES L SCUDERE,R
HOUSE OF DELEGATES,41.0,BROOKS SHARP,R
HOUSE OF DELEGATES,42.0,DIANE C PARKER,D
HOUSE OF DELEGATES,42.0,JEFFERY L TANSILL,R
HOUSE OF DELEGATES,43.0,MIKE CAPUTO,D
HOUSE OF DELEGATES,43.0,LINDA LONGSTRETH,D
HOUSE OF DELEGATES,43.0,TIM J MANCHIN,D
HOUSE OF DELEGATES,43.0,BLAINE RICHARDS,R
HOUSE OF DELEGATES,43.0,THOMAS F SMITH,R
HOUSE OF DELEGATES,43.0,BRIAN WESTFALL,R
HOUSE OF DELEGATES,44.0,ROBERT BOB BEACH,D
HOUSE OF DELEGATES,44.0,BARBARA EVANS FLEISCHAUER,D
HOUSE OF DELEGATES,44.0,NANCY J HOUSTON,D
HOUSE OF DELEGATES,44.0,CHARLENE MARSHALL,D
HOUSE OF DELEGATES,44.0,CINDY FRICH,R
HOUSE OF DELEGATES,44.0,JIM MANILLA,R
HOUSE OF DELEGATES,44.0,W KENT PAULEY,R
HOUSE OF DELEGATES,44.0,JEFF RIFFLE,R
HOUSE OF DELEGATES,45.0,LARRY A WILLIAMS,D
HOUSE OF DELEGATES,45.0,DAVID C BATSON,R
HOUSE OF DELEGATES,46.0,STAN SHAVER,D
HOUSE OF DELEGATES,46.0,DEBORAH DEBBIE STEVENS,R
HOUSE OF DELEGATES,47.0,HAROLD MICHAEL,D
HOUSE OF DELEGATES,47.0,SHIRLEY ESTES,R
HOUSE OF DELEGATES,48.0,DENVER LEE RIGGLEMAN JR,D
HOUSE OF DELEGATES,48.0,ALLEN V EVANS,R
HOUSE OF DELEGATES,49.0,WALTER R GROVE,D
HOUSE OF DELEGATES,49.0,ROBERT A SCHADLER,R
HOUSE OF DELEGATES,50.0,JERRY L MEZZATESTA,D
HOUSE OF DELEGATES,50.0,RUTH ROWAN,R
HOUSE OF DELEGATES,51.0,CHARLES S TRUMP IV,R
HOUSE OF DELEGATES,52.0,SCOTT FUNK,D
HOUSE OF DELEGATES,52.0,CRAIG BLAIR,R
HOUSE OF DELEGATES,53.0,JERRY L BURTON,D
HOUSE OF DELEGATES,53.0,VIC ROBERTS,R
HOUSE OF DELEGATES,54.0,WALTER E DUKE,R
HOUSE OF DELEGATES,55.0,JOHN OVERINGTON,R
HOUSE OF DELEGATES,56.0,BOB TABB,D
HOUSE OF DELEGATES,56.0,JAMES JIM WHITACRE,R
HOUSE OF DELEGATES,57.0,JOHN DOYLE,D
HOUSE OF DELEGATES,57.0,ROBERT MURTO,R
HOUSE OF DELEGATES,58.0,LOCKE WYSONG,R
US HOUSE,1.0,ALAN B MOLLOHAN,D
US HOUSE,1.0,ALAN LEE PARKS,D
US HOUSE,2.0,ERIK WELLS,D
US HOUSE,2.0,JULIAN MARTIN,Mountain
US HOUSE,2.0,SHELLEY MOORE CAPITO,R
US HOUSE,3.0,NICK JOE RAHALL II,D
US HOUSE,3.0,RICK SNUFFER,D
US HOUSE,2.0,WRITE IN,
GOVERNOR,,JOE MANCHIN III,D
GOVERNOR,,JESSE JOHNSON,Mountain
GOVERNOR,,MONTY WARNER,R
GOVERNOR,,SIMON MCCLURE,Write-In
GOVERNOR,,WRITE IN,
ATTORNEY GENERAL,,DARRELL MCGRAW,D
ATTORNEY GENERAL,,HIRAM LEWIS IV,R
ATTORNEY GENERAL,,WRITE IN,
STATE SENATE,1.0,TAL HUTCHINS,D
STATE SENATE,1.0,ANDY MCKENZIE,R
STATE SENATE,2.0,JEFFREY V KESSLER,D
STATE SENATE,2.0,RUSS SNYDER,R
STATE SENATE,3.0,DONNA J BOLEY,R
STATE SENATE,4.0,DAVID MULLINS,D
STATE SENATE,4.0,KAREN FACEMYER,R
STATE SENATE,5.0,ROBERT H BOB PLYMALE,D
STATE SENATE,5.0,STEPHEN L HALL,R
STATE SENATE,6.0,JOHN PAT FANNING,D
STATE SENATE,6.0,JACOB T POTTER,R
STATE SENATE,7.0,EARL RAY TOMBLIN,D
STATE SENATE,7.0,BILLY MARCUM,R
STATE SENATE,8.0,MARGARET L WORKMAN,D
STATE SENATE,8.0,VIC SPROUSE,R
STATE SENATE,9.0,BILLY WAYNE BAILEY JR,D
STATE SENATE,9.0,JACK E FINCHAM,R
STATE SENATE,10.0,ANITA SKEENS CALDWELL,D
STATE SENATE,10.0,DONALD T CARUTH,R
STATE SENATE,11.0,SHIRLEY LOVE,D
STATE SENATE,11.0,ROBERT C BOB JOHNSON,R
STATE SENATE,12.0,BILL SHARPE,D
STATE SENATE,12.0,JOHN M WILLIAMS,Mountain
STATE SENATE,12.0,STEPHEN L WEAVER,R
STATE SENATE,13.0,ROMAN W PREZIOSO JR,D
STATE SENATE,13.0,MARK ANTHONY REYNOLDS,R
STATE SENATE,14.0,JON BLAIR HUNTER,D
STATE SENATE,14.0,DAVID C SYPOLT,R
STATE SENATE,14.0,JOHN R RICK BARTLETT,Write-In
STATE SENATE,15.0,MIKE ROSS,D
STATE SENATE,15.0,CLARK S BARNES,R
STATE SENATE,16.0,R GREGORY LANCE,D
STATE SENATE,16.0,JOHN YODER,R
STATE SENATE,17.0,DAN FOSTER,D
STATE SENATE,17.0,RUSTY WEBB,R
STATE SENATE,16.0,WRITE IN,
SECRETARY OF STATE,,KEN HECHLER,D
SECRETARY OF STATE,,BETTY IRELAND,R
SECRETARY OF STATE,,WRITE IN,
STATE TREASURER,,JOHN PERDUE,D
STATE TREASURER,,BOB ADAMS,R
STATE TREASURER,,WRITE IN,
PRESIDENT,,BUSH,REP
PRESIDENT,,KERRY,DEM
PRESIDENT,,BADNARIK,LIB
PRESIDENT,,NADER,IND
PRESIDENT,,WRITE IN,
STATE AUDITOR,,LISA THORNBURG,REP
STATE AUDITOR,,GLEN B GAINER II,DEM
STATE AUDITOR,,WRITE IN,
COMMISSIONER OF AGRICULTURE,,ANDREW YOST,REP
COMMISSIONER OF AGRICULTURE,,GUS R DOUGLASS,DEM
COMMISSIONER OF AGRICULTURE,,WRITE IN,
SUPREME COURT OF APPEALS,,BRENT D BENJAMIN,REP
SUPREME COURT OF APPEALS,,WARREN R MCGRAW,DEM
SUPREME COURT OF APPEALS,,WRITE IN,
STATE HOUSE,56.0,JIM WHITACRE,REP
STATE HOUSE,56.0,BOB TABB,DEM
STATE HOUSE,56.0,WRITE IN,
STATE HOUSE,57.0,BOB MURTO,REP
STATE HOUSE,57.0,JOHN DOYLE,DEM
STATE HOUSE,58.0,SUZANNE MORGAN,REP
STATE HOUSE,58.0,LOCKE WYSONG,DEM
US PRESIDENT,,JOHN F KERRY,D
US PRESIDENT,,RALPH NADER,Independent
US PRESIDENT,,MICHAEL BADNARIK,Libertarian
US PRESIDENT,,GEORGE W BUSH,R
US PRESIDENT,,LAWSON M BONE,Write-In
US PRESIDENT,,DAVID COBB,Write-In
US PRESIDENT,,KEITH JUDD,Write-In
US PRESIDENT,,JOHN KENNEDY,Write-In
US PRESIDENT,,MICHAEL PEROUTKA,Write-In
