office,district,candidate,party
PRESIDENT,,LENORA FULANI,NAP
PRESIDENT,,MICHAEL DUKAKIS,DEM
PRESIDENT,,GEORGE HW BUSH,REP
US SENATE,1.0,JAY WOLFE,REP
US SENATE,1.0,ROBERT BYRD,DEM
US HOUSE,1.0,PAUL HART,REP
US HOUSE,1.0,BOB WISE,DEM
